Beginning Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.000000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.998000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 58, score: -108.23421884977444, average_score : -162.26646656035365, number of frames: 85, epsilon: 0.8885910526522206
episode: 59, score: -189.61083818130294, average_score : -162.72220608736947, number of frames: 94, epsilon: 0.8868138705469162
episode: 60, score: -228.67461078855237, average_score : -163.80339304968393, number of frames: 79, epsilon: 0.8850402428058224
episode: 61, score: -213.82670212346, average_score : -164.61022061539, number of frames: 74, epsilon: 0.8832701623202107
episode: 62, score: -165.3183139525679, average_score : -164.62146019217062, number of frames: 107, epsilon: 0.8815036219955703
episode: 63, score: -76.61867654532489, average_score : -163.24641669768863, number of frames: 70, epsilon: 0.8797406147515792
episode: 64, score: -366.64667761199297, average_score : -166.37565148098562, number of frames: 108, epsilon: 0.877981133522076
episode: 65, score: -175.41375389307808, average_score : -166.51259242662337, number of frames: 82, epsilon: 0.8762251712550319
episode: 66, score: -176.83292979808363, average_score : -166.66662731276455, number of frames: 90, epsilon: 0.8744727209125218
episode: 67, score: -139.05154083242886, average_score : -166.26052309981844, number of frames: 111, epsilon: 0.8727237754706968
episode: 68, score: -162.87612272523944, average_score : -166.21147381902745, number of frames: 123, epsilon: 0.8709783279197554
episode: 69, score: -118.31855086668072, average_score : -165.5272892054225, number of frames: 84, epsilon: 0.8692363712639158
episode: 70, score: -173.96572059226037, average_score : -165.64614035171599, number of frames: 79, epsilon: 0.867497898521388
episode: 71, score: -302.693103443253, average_score : -167.549570394654, number of frames: 96, epsilon: 0.8657629027243453
episode: 72, score: -251.8028741827122, average_score : -168.70372524106577, number of frames: 131, epsilon: 0.8640313769188966
episode: 73, score: -21.98569144898788, average_score : -166.7210491087404, number of frames: 102, epsilon: 0.8623033141650589
episode: 74, score: -108.60652540967564, average_score : -165.94618879275288, number of frames: 87, epsilon: 0.8605787075367288
episode: 75, score: -98.15816130233078, average_score : -165.05424106261572, number of frames: 101, epsilon: 0.8588575501216553
episode: 76, score: -90.27563167219108, average_score : -164.08309029131152, number of frames: 69, epsilon: 0.857139835021412
episode: 77, score: -113.25083421190087, average_score : -163.43139470054984, number of frames: 84, epsilon: 0.8554255553513692
episode: 78, score: -131.66102381996296, average_score : -163.0292381071247, number of frames: 90, epsilon: 0.8537147042406664
episode: 79, score: -168.79214780187806, average_score : -163.1012744783091, number of frames: 134, epsilon: 0.8520072748321851
episode: 80, score: -194.2735990838575, average_score : -163.48611799195785, number of frames: 140, epsilon: 0.8503032602825207
episode: 81, score: -149.84134249168622, average_score : -163.31971829073504, number of frames: 98, epsilon: 0.8486026537619556
episode: 82, score: -163.5314956364547, average_score : -163.32226982502084, number of frames: 88, epsilon: 0.8469054484544317
episode: 83, score: -46.0264192162844, average_score : -161.9258906511073, number of frames: 70, epsilon: 0.8452116375575228
episode: 84, score: -68.39521360227255, average_score : -160.82552974465042, number of frames: 69, epsilon: 0.8435212142824078
episode: 85, score: -179.30497745087308, average_score : -161.04040704355998, number of frames: 76, epsilon: 0.841834171853843
episode: 86, score: -205.28328986693685, average_score : -161.5489459265873, number of frames: 78, epsilon: 0.8401505035101353
episode: 87, score: -254.34760669280112, average_score : -162.60347616256698, number of frames: 130, epsilon: 0.838470202503115
episode: 88, score: -183.09507733360203, average_score : -162.8337188723539, number of frames: 130, epsilon: 0.8367932620981088
episode: 89, score: -185.89871739414505, average_score : -163.08999663370716, number of frames: 315, epsilon: 0.8351196755739125
episode: 90, score: -78.77020345972886, average_score : -162.16340549992717, number of frames: 110, epsilon: 0.8334494362227647
episode: 91, score: -42.82801104575938, average_score : -160.8662816471645, number of frames: 129, epsilon: 0.8317825373503192
episode: 92, score: -19.307629121031496, average_score : -159.3441455984964, number of frames: 100, epsilon: 0.8301189722756185
