Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :64
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.995000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 58, score: -97.68656829256271, average_score : -158.99093683217473, number of frames: 131, epsilon: 0.7439808620067382
episode: 59, score: -157.57429486851686, average_score : -158.9673261327804, number of frames: 103, epsilon: 0.7402609576967045
episode: 60, score: -150.80673345775784, average_score : -158.83354592499316, number of frames: 99, epsilon: 0.736559652908221
episode: 61, score: -62.71041347845821, average_score : -157.2831728210168, number of frames: 136, epsilon: 0.7328768546436799
episode: 62, score: -252.53766615014308, average_score : -158.7951489056061, number of frames: 122, epsilon: 0.7292124703704616
episode: 63, score: -236.8392866032384, average_score : -160.01458855713162, number of frames: 251, epsilon: 0.7255664080186093
episode: 64, score: -97.74107417911142, average_score : -159.05653448977748, number of frames: 130, epsilon: 0.7219385759785162
episode: 65, score: -114.40664523969453, average_score : -158.38002101629135, number of frames: 235, epsilon: 0.7183288830986236
episode: 66, score: -120.7745359364429, average_score : -157.81874511957722, number of frames: 96, epsilon: 0.7147372386831305
episode: 67, score: -64.85083410774115, average_score : -156.45156995763844, number of frames: 126, epsilon: 0.7111635524897149
episode: 68, score: -133.91971533785534, average_score : -156.12502133996043, number of frames: 169, epsilon: 0.7076077347272662
episode: 69, score: -33.42192247933649, average_score : -154.3721199276658, number of frames: 87, epsilon: 0.7040696960536299
episode: 70, score: -95.79714233626476, average_score : -153.54712024327986, number of frames: 187, epsilon: 0.7005493475733617
episode: 71, score: -99.69355675302663, average_score : -152.799154083693, number of frames: 139, epsilon: 0.697046600835495
episode: 72, score: -143.87354950707714, average_score : -152.67688552784895, number of frames: 84, epsilon: 0.6935613678313175
episode: 73, score: -131.81183160177932, average_score : -152.3949253396588, number of frames: 83, epsilon: 0.6900935609921609
episode: 74, score: -115.12757659117436, average_score : -151.89802735634566, number of frames: 148, epsilon: 0.6866430931872001
episode: 75, score: -58.326407011484484, average_score : -150.66682182549224, number of frames: 86, epsilon: 0.6832098777212641
episode: 76, score: -124.986647608152, average_score : -150.33331306942287, number of frames: 179, epsilon: 0.6797938283326578
episode: 77, score: -204.60554662194843, average_score : -151.02911093548087, number of frames: 101, epsilon: 0.6763948591909945
episode: 78, score: -146.79207275423346, average_score : -150.97547754078155, number of frames: 97, epsilon: 0.6730128848950395
episode: 79, score: -184.73684766892163, average_score : -151.39749466738334, number of frames: 141, epsilon: 0.6696478204705644
episode: 80, score: -185.40047882596906, average_score : -151.81728459526713, number of frames: 116, epsilon: 0.6662995813682115
episode: 81, score: -20.05992221623241, average_score : -150.2104874930838, number of frames: 96, epsilon: 0.6629680834613705
episode: 82, score: -225.89099703674435, average_score : -151.1223008610797, number of frames: 227, epsilon: 0.6596532430440636
episode: 83, score: 2.7072072900864015, average_score : -149.29099719261345, number of frames: 142, epsilon: 0.6563549768288433
episode: 84, score: -142.50569209364397, average_score : -149.21117007380204, number of frames: 128, epsilon: 0.653073201944699
episode: 85, score: -228.6110903400745, average_score : -150.13442496061916, number of frames: 146, epsilon: 0.6498078359349755
episode: 86, score: -304.3508618142193, average_score : -151.90702768307432, number of frames: 132, epsilon: 0.6465587967553006
episode: 87, score: -116.56879016922863, average_score : -151.50545680223513, number of frames: 170, epsilon: 0.6433260027715241
episode: 88, score: -41.03784618277969, average_score : -150.26424769415138, number of frames: 84, epsilon: 0.6401093727576664
episode: 89, score: -110.24015155349005, average_score : -149.81953551481067, number of frames: 173, epsilon: 0.6369088258938781
episode: 90, score: -80.04554176578195, average_score : -149.05278833075542, number of frames: 233, epsilon: 0.6337242817644086
episode: 91, score: 2.0504013356895854, average_score : -147.41036235612015, number of frames: 133, epsilon: 0.6305556603555866
episode: 92, score: -286.51126409875377, average_score : -148.90607097700868, number of frames: 142, epsilon: 0.6274028820538087
episode: 93, score: -113.39790831112613, average_score : -148.5283245656695, number of frames: 149, epsilon: 0.6242658676435396
episode: 94, score: -25.777871691765014, average_score : -147.23621453541787, number of frames: 220, epsilon: 0.6211445383053219
episode: 95, score: -273.60304251822373, average_score : -148.5525356602388, number of frames: 156, epsilon: 0.6180388156137953
episode: 96, score: -131.38979479992247, average_score : -148.37560018745202, number of frames: 100, epsilon: 0.6149486215357263
episode: 97, score: -75.59274895162602, average_score : -147.63291803198442, number of frames: 207, epsilon: 0.6118738784280476
episode: 98, score: -73.31766231581379, average_score : -146.88225888333622, number of frames: 163, epsilon: 0.6088145090359074
episode: 99, score: -53.33005879920589, average_score : -145.94673688249492, number of frames: 119, epsilon: 0.6057704364907278
episode: 100, score: -42.0472034150365, average_score : -145.0617435661838, number of frames: 134, epsilon: 0.6027415843082742
episode: 101, score: -123.11045165294746, average_score : -143.85051382120952, number of frames: 148, epsilon: 0.5997278763867329
episode: 102, score: -16.276686086589947, average_score : -142.29973052153994, number of frames: 111, epsilon: 0.5967292370047992
episode: 103, score: -91.19076292824955, average_score : -141.2502969760489, number of frames: 280, epsilon: 0.5937455908197752
episode: 104, score: -124.40249206805304, average_score : -141.59806089204193, number of frames: 80, epsilon: 0.5907768628656763
episode: 105, score: -106.20481682516183, average_score : -141.96036601902588, number of frames: 168, epsilon: 0.5878229785513479
episode: 106, score: -43.76693111587997, average_score : -139.378015057629, number of frames: 151, epsilon: 0.5848838636585911
episode: 107, score: -272.75048656103786, average_score : -139.62548421334517, number of frames: 226, epsilon: 0.5819594443402982
episode: 108, score: -95.20704848891836, average_score : -139.61946623121435, number of frames: 170, epsilon: 0.5790496471185967
episode: 109, score: -48.517494013026166, average_score : -139.31010268107576, number of frames: 198, epsilon: 0.5761543988830038
episode: 110, score: -141.74027079164745, average_score : -138.82847968775047, number of frames: 219, epsilon: 0.5732736268885887
episode: 111, score: -67.91897664324466, average_score : -138.69412961193655, number of frames: 126, epsilon: 0.5704072587541458
episode: 112, score: -55.08960035107645, average_score : -136.66851246433137, number of frames: 169, epsilon: 0.567555222460375
episode: 113, score: -47.80780238935368, average_score : -135.44217063395865, number of frames: 235, epsilon: 0.5647174463480732
episode: 114, score: -91.48939876160571, average_score : -132.1743986431379, number of frames: 112, epsilon: 0.5618938591163328
episode: 115, score: -50.906744622264526, average_score : -131.79988516297865, number of frames: 395, epsilon: 0.5590843898207511
episode: 116, score: -107.86454964584621, average_score : -130.28552400262166, number of frames: 114, epsilon: 0.5562889678716474
episode: 117, score: -93.6258581138132, average_score : -128.43084354184114, number of frames: 150, epsilon: 0.5535075230322891
episode: 118, score: -102.04963687750552, average_score : -127.57668910242747, number of frames: 83, epsilon: 0.5507399854171277
episode: 119, score: -39.292239902964496, average_score : -127.1132826887743, number of frames: 330, epsilon: 0.547986285490042
episode: 120, score: -74.55789722719595, average_score : -126.91352022327985, number of frames: 140, epsilon: 0.5452463540625918
episode: 121, score: -64.08335472771748, average_score : -126.26932282451767, number of frames: 203, epsilon: 0.5425201222922789
episode: 122, score: -69.03579292113636, average_score : -123.48238565175598, number of frames: 155, epsilon: 0.5398075216808175
episode: 123, score: -88.43651772168204, average_score : -122.25437560370803, number of frames: 138, epsilon: 0.5371084840724134
episode: 124, score: -70.13165403722762, average_score : -122.42319439735859, number of frames: 170, epsilon: 0.5344229416520513
episode: 125, score: -92.22574193423645, average_score : -121.52709829743195, number of frames: 181, epsilon: 0.531750826943791
episode: 126, score: -32.69041885715798, average_score : -121.4275393911641, number of frames: 214, epsilon: 0.5290920728090721
episode: 127, score: -94.59050680362127, average_score : -121.26950518216779, number of frames: 172, epsilon: 0.5264466124450268
episode: 128, score: -155.47055914541056, average_score : -121.17826369152549, number of frames: 151, epsilon: 0.5238143793828016
episode: 129, score: -3.7966510992261817, average_score : -120.07642161705292, number of frames: 275, epsilon: 0.5211953074858876
episode: 130, score: 76.98413441779265, average_score : -118.13644973384537, number of frames: 1000, epsilon: 0.5185893309484582
episode: 131, score: -29.92341720350656, average_score : -116.10007573575166, number of frames: 139, epsilon: 0.5159963842937159
episode: 132, score: -21.2991568172436, average_score : -115.44337611853975, number of frames: 421, epsilon: 0.5134164023722473
episode: 133, score: -48.492140396494406, average_score : -115.55212142871927, number of frames: 103, epsilon: 0.510849320360386
episode: 134, score: -145.26206261904787, average_score : -114.1439618585327, number of frames: 110, epsilon: 0.5082950737585841
episode: 135, score: -151.23595777321518, average_score : -112.6359654519527, number of frames: 127, epsilon: 0.5057535983897912
episode: 136, score: -124.33340475495642, average_score : -112.90123380785926, number of frames: 211, epsilon: 0.5032248303978422
episode: 137, score: -61.163925685187486, average_score : -111.92576204231098, number of frames: 106, epsilon: 0.500708706245853
episode: 138, score: -51.2010624562366, average_score : -112.00915215299268, number of frames: 132, epsilon: 0.4982051627146237
episode: 139, score: -134.65827698446031, average_score : -112.34347248647614, number of frames: 398, epsilon: 0.49571413690105054
episode: 140, score: 26.07469676085246, average_score : -109.66886279334625, number of frames: 150, epsilon: 0.4932355662165453
episode: 141, score: -29.51657201922589, average_score : -106.60921739354552, number of frames: 166, epsilon: 0.4907693883854626
episode: 142, score: -154.1592387023573, average_score : -106.22162447728392, number of frames: 567, epsilon: 0.4883155414435353
episode: 143, score: -5.030411569760901, average_score : -104.84436075281324, number of frames: 131, epsilon: 0.4858739637363176
episode: 144, score: -107.52330224074205, average_score : -104.32176148260177, number of frames: 418, epsilon: 0.483444593917636
episode: 145, score: -225.20961080803295, average_score : -105.50064748330918, number of frames: 426, epsilon: 0.4810273709480478
episode: 146, score: -43.29496683890862, average_score : -104.65653607855657, number of frames: 125, epsilon: 0.47862223409330756
episode: 147, score: -124.58277367153588, average_score : -103.98772806070761, number of frames: 277, epsilon: 0.47622912292284103
episode: 148, score: -15.482350709976828, average_score : -103.08142935867164, number of frames: 230, epsilon: 0.4738479773082268
episode: 149, score: 36.467786416957495, average_score : -100.74453850505871, number of frames: 173, epsilon: 0.47147873742168567
episode: 150, score: -42.62384620692102, average_score : -99.87888495690893, number of frames: 237, epsilon: 0.46912134373457726
episode: 151, score: -91.06258439752581, average_score : -100.02140715198004, number of frames: 206, epsilon: 0.46677573701590436
episode: 152, score: -82.41927548727044, average_score : -100.54034406584256, number of frames: 443, epsilon: 0.46444185833082485
episode: 153, score: -9.301429574778012, average_score : -99.71614474060696, number of frames: 135, epsilon: 0.46211964903917074
episode: 154, score: -65.09830153542269, average_score : -99.78970826436844, number of frames: 187, epsilon: 0.4598090507939749
episode: 155, score: -19.69399559155613, average_score : -98.70966747318555, number of frames: 136, epsilon: 0.457510005540005
episode: 156, score: -244.9894977343062, average_score : -98.61269615364412, number of frames: 556, epsilon: 0.45522245551230495
episode: 157, score: -15.273229260529064, average_score : -97.21477702616176, number of frames: 123, epsilon: 0.4529463432347434
episode: 158, score: -4.8337911428106395, average_score : -96.28624925466424, number of frames: 162, epsilon: 0.4506816115185697
episode: 159, score: -25.73016561740286, average_score : -94.96780796215307, number of frames: 155, epsilon: 0.4484282034609769
episode: 160, score: 64.04016443873596, average_score : -92.81933898318812, number of frames: 174, epsilon: 0.446186062443672
episode: 161, score: -154.51254584281747, average_score : -93.73736030683172, number of frames: 904, epsilon: 0.4439551321314536
episode: 162, score: -39.55143407984495, average_score : -91.60749798612875, number of frames: 185, epsilon: 0.4417353564707963
episode: 163, score: -56.13886589086184, average_score : -89.800493779005, number of frames: 185, epsilon: 0.43952667968844233
episode: 164, score: 39.29869029772476, average_score : -88.43009613423665, number of frames: 188, epsilon: 0.43732904629000013
episode: 165, score: -97.00591563399453, average_score : -88.25608883817964, number of frames: 88, epsilon: 0.4351424010585501
episode: 166, score: 13.19586429983346, average_score : -86.91638483581686, number of frames: 364, epsilon: 0.43296668905325736
episode: 167, score: -208.65303814437027, average_score : -88.35440687618316, number of frames: 751, epsilon: 0.43080185560799106
episode: 168, score: -215.64178426450118, average_score : -89.1716275654496, number of frames: 926, epsilon: 0.4286478463299511
episode: 169, score: -35.92959921739424, average_score : -89.19670433283018, number of frames: 1000, epsilon: 0.42650460709830135
