Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.995000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 0, score: -149.27370400069734, average_score : -149.27370400069734, number of frames: 67, epsilon: 0.995
episode: 1, score: -125.62819598587954, average_score : -137.45094999328845, number of frames: 65, epsilon: 0.990025
episode: 2, score: -318.791314189912, average_score : -197.89773805882965, number of frames: 86, epsilon: 0.985074875
episode: 3, score: -101.48815787277783, average_score : -173.7953430123167, number of frames: 81, epsilon: 0.9801495006250001
episode: 4, score: -137.80540200125594, average_score : -166.59735481010455, number of frames: 101, epsilon: 0.9752487531218751
episode: 5, score: -110.77992684267201, average_score : -157.2944501488658, number of frames: 119, epsilon: 0.9703725093562657
episode: 6, score: -81.43924731476957, average_score : -146.45799260113776, number of frames: 76, epsilon: 0.9655206468094844
episode: 7, score: -128.9760595191055, average_score : -144.27275096588372, number of frames: 107, epsilon: 0.960693043575437
episode: 8, score: -114.2936911459002, average_score : -140.94174431921888, number of frames: 157, epsilon: 0.9558895783575597
episode: 9, score: -106.08174094510288, average_score : -137.4557439818073, number of frames: 84, epsilon: 0.9511101304657719
episode: 10, score: -77.72735283630207, average_score : -132.02589024130683, number of frames: 78, epsilon: 0.946354579813443
episode: 11, score: -138.01846900191427, average_score : -132.5252718046908, number of frames: 108, epsilon: 0.9416228069143757
episode: 12, score: -473.5683527716235, average_score : -158.7593549559933, number of frames: 136, epsilon: 0.9369146928798039
episode: 13, score: -430.9547294244321, average_score : -178.20188170373893, number of frames: 107, epsilon: 0.9322301194154049
episode: 14, score: -359.25400908605263, average_score : -190.2720235292265, number of frames: 78, epsilon: 0.9275689688183278
episode: 15, score: -327.45578380932614, average_score : -198.84600854673272, number of frames: 141, epsilon: 0.9229311239742362
episode: 16, score: -188.78310044139772, average_score : -198.25407277583068, number of frames: 127, epsilon: 0.918316468354365
episode: 17, score: -88.59923478679909, average_score : -192.16213733199558, number of frames: 97, epsilon: 0.9137248860125932
episode: 18, score: -339.15519703824367, average_score : -199.89861415864024, number of frames: 104, epsilon: 0.9091562615825302
episode: 19, score: -124.78153746290053, average_score : -196.14276032385322, number of frames: 85, epsilon: 0.9046104802746175
episode: 20, score: -164.67447917953075, average_score : -194.64427074555218, number of frames: 63, epsilon: 0.9000874278732445
episode: 21, score: -186.6190147299455, average_score : -194.27948638120642, number of frames: 67, epsilon: 0.8955869907338783
episode: 22, score: -212.68971898665018, average_score : -195.07993127709528, number of frames: 127, epsilon: 0.8911090557802088
episode: 23, score: -277.7229800565711, average_score : -198.52339164290674, number of frames: 95, epsilon: 0.8866535105013078
episode: 24, score: -205.67598687952767, average_score : -198.8094954523716, number of frames: 128, epsilon: 0.8822202429488013
episode: 25, score: -76.37419065615576, average_score : -194.10044526790173, number of frames: 93, epsilon: 0.8778091417340573
episode: 26, score: -101.6827284536527, average_score : -190.677566867374, number of frames: 77, epsilon: 0.8734200960253871
episode: 27, score: -253.32878570312198, average_score : -192.91511039722215, number of frames: 105, epsilon: 0.8690529955452602
episode: 28, score: -273.13304271108115, average_score : -195.68124599425178, number of frames: 107, epsilon: 0.8647077305675338
episode: 29, score: -86.06446116520256, average_score : -192.0273531666168, number of frames: 119, epsilon: 0.8603841919146962
episode: 30, score: -171.1944037171425, average_score : -191.3553225392144, number of frames: 77, epsilon: 0.8560822709551227
episode: 31, score: -174.8218797083045, average_score : -190.83865245074847, number of frames: 86, epsilon: 0.851801859600347
episode: 32, score: -80.94358105808375, average_score : -187.50849877218286, number of frames: 97, epsilon: 0.8475428503023453
episode: 33, score: -400.84525159213797, average_score : -193.78310914924037, number of frames: 139, epsilon: 0.8433051360508336
episode: 34, score: -83.15115644956335, average_score : -190.62219621496388, number of frames: 96, epsilon: 0.8390886103705794
episode: 35, score: -111.31915034032377, average_score : -188.41933382955722, number of frames: 132, epsilon: 0.8348931673187264
episode: 36, score: -168.06507042918037, average_score : -187.86921860252, number of frames: 128, epsilon: 0.8307187014821328
