Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.995000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 0, score: -174.65906334788585, average_score : -174.65906334788585, number of frames: 77, epsilon: 0.995
episode: 1, score: -142.36685845147701, average_score : -158.51296089968145, number of frames: 79, epsilon: 0.990025
episode: 2, score: -118.1204337198042, average_score : -145.04878517305568, number of frames: 99, epsilon: 0.985074875
episode: 3, score: -56.572364376494235, average_score : -122.92967997391533, number of frames: 66, epsilon: 0.9801495006250001
episode: 4, score: -346.86879860484316, average_score : -167.7175037001009, number of frames: 115, epsilon: 0.9752487531218751
episode: 5, score: -209.95096774426526, average_score : -174.7564143741283, number of frames: 105, epsilon: 0.9703725093562657
episode: 6, score: 4.934072241124923, average_score : -149.08634485766353, number of frames: 98, epsilon: 0.9655206468094844
episode: 7, score: -250.24063996725522, average_score : -161.73063174636252, number of frames: 93, epsilon: 0.960693043575437
episode: 8, score: -101.43814095321306, average_score : -155.03146610267925, number of frames: 88, epsilon: 0.9558895783575597
episode: 9, score: -125.19703035258435, average_score : -152.04802252766973, number of frames: 73, epsilon: 0.9511101304657719
episode: 10, score: -166.56472539941248, average_score : -153.36772278873727, number of frames: 125, epsilon: 0.946354579813443
episode: 11, score: -59.383909332774465, average_score : -145.5357383340737, number of frames: 65, epsilon: 0.9416228069143757
episode: 12, score: -146.866269795453, average_score : -145.63808690802597, number of frames: 103, epsilon: 0.9369146928798039
episode: 13, score: -93.54066103782107, average_score : -141.91684220301133, number of frames: 66, epsilon: 0.9322301194154049
episode: 14, score: -102.40355485831894, average_score : -139.2826230466985, number of frames: 91, epsilon: 0.9275689688183278
episode: 15, score: -75.5980465217926, average_score : -135.30233701389187, number of frames: 64, epsilon: 0.9229311239742362
episode: 16, score: -91.23373403782894, average_score : -132.71006625059405, number of frames: 103, epsilon: 0.918316468354365
episode: 17, score: -391.0024880391721, average_score : -147.0596452388484, number of frames: 115, epsilon: 0.9137248860125932
episode: 18, score: -124.63597276883442, average_score : -145.87945195095293, number of frames: 90, epsilon: 0.9091562615825302
