Beginning Episodes...
----------HyperParameters Used----------
----------Batch Size  :64
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.995000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 0, score: -142.0666438703804, average_score : -142.0666438703804, number of frames: 76, epsilon: 0.995
episode: 1, score: -344.2979299082524, average_score : -243.1822868893164, number of frames: 74, epsilon: 0.990025
episode: 2, score: -82.21414702797725, average_score : -189.52624026887, number of frames: 86, epsilon: 0.985074875
episode: 3, score: -1.355553207237989, average_score : -142.483568503462, number of frames: 135, epsilon: 0.9801495006250001
episode: 4, score: -245.9374634017956, average_score : -163.17434748312874, number of frames: 77, epsilon: 0.9752487531218751
episode: 5, score: -77.23156743956214, average_score : -148.85055080920097, number of frames: 64, epsilon: 0.9703725093562657
episode: 6, score: -127.46509885065569, average_score : -145.7954862436945, number of frames: 122, epsilon: 0.9655206468094844
episode: 7, score: -99.7281351477811, average_score : -140.03706735670534, number of frames: 74, epsilon: 0.960693043575437
episode: 8, score: -134.4148100675091, average_score : -139.4123721023502, number of frames: 114, epsilon: 0.9558895783575597
episode: 9, score: -177.697393064151, average_score : -143.24087419853026, number of frames: 99, epsilon: 0.9511101304657719
episode: 10, score: -157.78973724327994, average_score : -144.5634981116893, number of frames: 112, epsilon: 0.946354579813443
episode: 11, score: -127.78837120636288, average_score : -143.16557086957877, number of frames: 117, epsilon: 0.9416228069143757
episode: 12, score: -193.17502318585736, average_score : -147.01245181698482, number of frames: 72, epsilon: 0.9369146928798039
episode: 13, score: -128.23148640738583, average_score : -145.67095428772774, number of frames: 65, epsilon: 0.9322301194154049
episode: 14, score: -7.608656402866927, average_score : -136.4668010954037, number of frames: 76, epsilon: 0.9275689688183278
episode: 15, score: -83.9236399800611, average_score : -133.1828535256948, number of frames: 82, epsilon: 0.9229311239742362
episode: 16, score: -65.9633284051452, average_score : -129.2287638127213, number of frames: 64, epsilon: 0.918316468354365
episode: 17, score: -146.93637149592712, average_score : -130.21251979512164, number of frames: 109, epsilon: 0.9137248860125932
episode: 18, score: -145.35287669956222, average_score : -131.00938068482904, number of frames: 134, epsilon: 0.9091562615825302
episode: 19, score: -242.5539627846379, average_score : -136.58660978981948, number of frames: 107, epsilon: 0.9046104802746175
episode: 20, score: -155.10784596337845, average_score : -137.4685734171318, number of frames: 79, epsilon: 0.9000874278732445
episode: 21, score: -421.6011058475617, average_score : -150.38368852760593, number of frames: 81, epsilon: 0.8955869907338783
