Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.000000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.998000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 0, score: -96.26006379827612, average_score : -96.26006379827612, number of frames: 68, epsilon: 0.998
episode: 1, score: -121.43606743029058, average_score : -108.84806561428334, number of frames: 74, epsilon: 0.996004
episode: 2, score: -257.724790985744, average_score : -158.47364073810357, number of frames: 85, epsilon: 0.994011992
episode: 3, score: -156.7729059357762, average_score : -158.04845703752173, number of frames: 67, epsilon: 0.992023968016
episode: 4, score: -404.19979877732214, average_score : -207.2787253854818, number of frames: 100, epsilon: 0.990039920079968
episode: 5, score: -284.83498942765186, average_score : -220.20476939251014, number of frames: 91, epsilon: 0.9880598402398081
episode: 6, score: -67.26651483593153, average_score : -198.3564473129989, number of frames: 74, epsilon: 0.9860837205593285
episode: 7, score: -328.32051399886996, average_score : -214.6019556487328, number of frames: 89, epsilon: 0.9841115531182099
episode: 8, score: -79.08964613597989, average_score : -199.54503236953803, number of frames: 125, epsilon: 0.9821433300119734
episode: 9, score: -111.61702898507457, average_score : -190.75223203109167, number of frames: 103, epsilon: 0.9801790433519495
episode: 10, score: -183.83029443927774, average_score : -190.1229649772904, number of frames: 105, epsilon: 0.9782186852652456
episode: 11, score: -273.2955928327595, average_score : -197.0540172985795, number of frames: 98, epsilon: 0.976262247894715
episode: 12, score: -219.67642615576827, average_score : -198.79420259528632, number of frames: 74, epsilon: 0.9743097233989256
episode: 13, score: -120.35184959664733, average_score : -193.19117738109782, number of frames: 75, epsilon: 0.9723611039521278
episode: 14, score: -84.96552481944052, average_score : -185.97613387698732, number of frames: 68, epsilon: 0.9704163817442236
episode: 15, score: -271.8465226050124, average_score : -191.3430331724889, number of frames: 110, epsilon: 0.9684755489807352
episode: 16, score: -240.0741239259296, average_score : -194.2095679226913, number of frames: 99, epsilon: 0.9665385978827737
episode: 17, score: -158.07390764216944, average_score : -192.20203124044008, number of frames: 93, epsilon: 0.9646055206870082
episode: 18, score: -309.4571064389446, average_score : -198.37335098772982, number of frames: 91, epsilon: 0.9626763096456342
episode: 19, score: -81.92798443760515, average_score : -192.55108266022359, number of frames: 117, epsilon: 0.9607509570263429
episode: 20, score: -268.69133205198557, average_score : -196.17680882173605, number of frames: 99, epsilon: 0.9588294551122902
episode: 21, score: -79.32538424467825, average_score : -190.86538043186977, number of frames: 92, epsilon: 0.9569117962020657
episode: 22, score: -115.09310518893321, average_score : -187.57093368217687, number of frames: 96, epsilon: 0.9549979726096616
episode: 23, score: -129.5612938520971, average_score : -185.15386535592356, number of frames: 113, epsilon: 0.9530879766644422
episode: 24, score: -84.39945526084676, average_score : -181.12368895212046, number of frames: 60, epsilon: 0.9511818007111134
episode: 25, score: -221.65171970798565, average_score : -182.68245936580757, number of frames: 92, epsilon: 0.9492794371096911
episode: 26, score: -228.78359944759737, average_score : -184.38990899846647, number of frames: 73, epsilon: 0.9473808782354717
episode: 27, score: -115.66819399804115, average_score : -181.93556203416554, number of frames: 128, epsilon: 0.9454861164790007
episode: 28, score: -154.34004059736526, average_score : -180.98399232944828, number of frames: 67, epsilon: 0.9435951442460427
episode: 29, score: -129.32483398918032, average_score : -179.2620203847727, number of frames: 103, epsilon: 0.9417079539575507
episode: 30, score: -112.67380957444294, average_score : -177.1140135844395, number of frames: 119, epsilon: 0.9398245380496356
episode: 31, score: -177.20945131303193, average_score : -177.116996013458, number of frames: 132, epsilon: 0.9379448889735363
episode: 32, score: -91.65765429445057, average_score : -174.5273189916699, number of frames: 65, epsilon: 0.9360689991955893
episode: 33, score: -99.73777600944241, average_score : -172.32762655101612, number of frames: 90, epsilon: 0.9341968611971981
episode: 34, score: -38.16326741637748, average_score : -168.49435914716932, number of frames: 147, epsilon: 0.9323284674748037
episode: 35, score: -84.08057177381713, average_score : -166.14953172013173, number of frames: 70, epsilon: 0.930463810539854
episode: 36, score: -136.74505497119642, average_score : -165.3548161323227, number of frames: 151, epsilon: 0.9286028829187744
episode: 37, score: -149.029349011793, average_score : -164.92519857651928, number of frames: 114, epsilon: 0.9267456771529368
episode: 38, score: -183.37073896318296, average_score : -165.39816115053628, number of frames: 102, epsilon: 0.9248921857986309
episode: 39, score: -452.18538325768696, average_score : -172.56784170321507, number of frames: 113, epsilon: 0.9230424014270336
