Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.995000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 0, score: -311.64797381433084, average_score : -311.64797381433084, number of frames: 98, epsilon: 0.995
episode: 1, score: -166.78964805952484, average_score : -239.21881093692784, number of frames: 127, epsilon: 0.990025
episode: 2, score: -99.65266271599216, average_score : -192.6967615299493, number of frames: 69, epsilon: 0.985074875
episode: 3, score: -252.85744783499024, average_score : -207.73693310620953, number of frames: 85, epsilon: 0.9801495006250001
episode: 4, score: -97.52841549327667, average_score : -185.69522958362296, number of frames: 83, epsilon: 0.9752487531218751
episode: 5, score: -116.38794255523999, average_score : -174.14401507889247, number of frames: 100, epsilon: 0.9703725093562657
episode: 6, score: -106.15793336224344, average_score : -164.43171769079976, number of frames: 139, epsilon: 0.9655206468094844
episode: 7, score: -408.8481535259035, average_score : -194.9837721701877, number of frames: 104, epsilon: 0.960693043575437
episode: 8, score: -57.650606509899404, average_score : -179.7245315412668, number of frames: 70, epsilon: 0.9558895783575597
episode: 9, score: -327.71901914697474, average_score : -194.52398030183758, number of frames: 89, epsilon: 0.9511101304657719
episode: 10, score: -101.16680149859626, average_score : -186.03696404699747, number of frames: 65, epsilon: 0.946354579813443
episode: 11, score: -378.84829397760853, average_score : -202.10457487454838, number of frames: 141, epsilon: 0.9416228069143757
episode: 12, score: -343.4172807786624, average_score : -212.9747830210187, number of frames: 92, epsilon: 0.9369146928798039
episode: 13, score: -215.5685755703621, average_score : -213.16005391740038, number of frames: 83, epsilon: 0.9322301194154049
episode: 14, score: -275.42398195628607, average_score : -217.3109824533261, number of frames: 94, epsilon: 0.9275689688183278
episode: 15, score: -13.133118290858093, average_score : -204.54986594317182, number of frames: 74, epsilon: 0.9229311239742362
episode: 16, score: -106.18318312975319, average_score : -198.76359048355897, number of frames: 65, epsilon: 0.918316468354365
episode: 17, score: -113.57320463019755, average_score : -194.0307912694833, number of frames: 106, epsilon: 0.9137248860125932
episode: 18, score: -103.76370896201547, average_score : -189.27989220066922, number of frames: 95, epsilon: 0.9091562615825302
episode: 19, score: -76.37725979983594, average_score : -183.63476058062756, number of frames: 81, epsilon: 0.9046104802746175
episode: 20, score: -263.38267131426716, average_score : -187.4322801393723, number of frames: 89, epsilon: 0.9000874278732445
episode: 21, score: -114.02851871912856, average_score : -184.0957455293612, number of frames: 90, epsilon: 0.8955869907338783
