Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :64
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.998000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 0, score: -220.4441311434644, average_score : -220.4441311434644, number of frames: 103, epsilon: 0.998
episode: 1, score: -129.9495080777006, average_score : -175.1968196105825, number of frames: 67, epsilon: 0.996004
episode: 2, score: -230.25346080647574, average_score : -193.54903334254695, number of frames: 89, epsilon: 0.994011992
episode: 3, score: -126.15701710830263, average_score : -176.70102928398586, number of frames: 73, epsilon: 0.992023968016
episode: 4, score: -156.20939678378193, average_score : -172.60270278394506, number of frames: 84, epsilon: 0.990039920079968
episode: 5, score: -112.08553493508106, average_score : -162.51650814246773, number of frames: 83, epsilon: 0.9880598402398081
episode: 6, score: -223.74095841027827, average_score : -171.2628581807264, number of frames: 82, epsilon: 0.9860837205593285
episode: 7, score: -208.10012609133943, average_score : -175.86751666955303, number of frames: 78, epsilon: 0.9841115531182099
episode: 8, score: -101.14337855814013, average_score : -167.5648346571738, number of frames: 76, epsilon: 0.9821433300119734
episode: 9, score: -423.0947813980445, average_score : -193.11782933126088, number of frames: 92, epsilon: 0.9801790433519495
episode: 10, score: -80.794563772115, average_score : -182.90662337133853, number of frames: 67, epsilon: 0.9782186852652456
episode: 11, score: -297.8561039053473, average_score : -192.4857467491726, number of frames: 88, epsilon: 0.976262247894715
episode: 12, score: -179.10602324371843, average_score : -191.45653724875305, number of frames: 69, epsilon: 0.9743097233989256
episode: 13, score: -236.35407220679963, average_score : -194.66350403147067, number of frames: 126, epsilon: 0.9723611039521278
episode: 14, score: -93.07352476527207, average_score : -187.89083874705742, number of frames: 97, epsilon: 0.9704163817442236
episode: 15, score: -115.55773652650112, average_score : -183.37001985827263, number of frames: 102, epsilon: 0.9684755489807352
episode: 16, score: -75.03377943803464, average_score : -176.99729983355274, number of frames: 87, epsilon: 0.9665385978827737
episode: 17, score: -148.58282808696708, average_score : -175.41871806985353, number of frames: 69, epsilon: 0.9646055206870082
episode: 18, score: -82.16337262208226, average_score : -170.51054199365504, number of frames: 78, epsilon: 0.9626763096456342
episode: 19, score: -106.21448457264903, average_score : -167.29573912260474, number of frames: 95, epsilon: 0.9607509570263429
episode: 20, score: -63.58652270453496, average_score : -162.35720500745856, number of frames: 58, epsilon: 0.9588294551122902
episode: 21, score: -401.2413968985467, average_score : -173.21557736614437, number of frames: 90, epsilon: 0.9569117962020657
episode: 22, score: -124.17757987162034, average_score : -171.08349051855637, number of frames: 84, epsilon: 0.9549979726096616
episode: 23, score: -184.3277345246947, average_score : -171.63533401881216, number of frames: 103, epsilon: 0.9530879766644422
episode: 24, score: -151.47088102735938, average_score : -170.82875589915406, number of frames: 103, epsilon: 0.9511818007111134
episode: 25, score: -156.36082196652723, average_score : -170.27229690174534, number of frames: 86, epsilon: 0.9492794371096911
episode: 26, score: -116.56749938492635, average_score : -168.28323032704833, number of frames: 92, epsilon: 0.9473808782354717
episode: 27, score: -106.76367645461222, average_score : -166.08610340303275, number of frames: 90, epsilon: 0.9454861164790007
episode: 28, score: -328.2791867151908, average_score : -171.67896834483133, number of frames: 97, epsilon: 0.9435951442460427
episode: 29, score: -97.72281257035691, average_score : -169.21376315234883, number of frames: 114, epsilon: 0.9417079539575507
episode: 30, score: -256.9696646872776, average_score : -172.04459868573366, number of frames: 101, epsilon: 0.9398245380496356
episode: 31, score: -279.02870921978877, average_score : -175.38785213992284, number of frames: 100, epsilon: 0.9379448889735363
episode: 32, score: -138.88071105093582, average_score : -174.28157513722627, number of frames: 102, epsilon: 0.9360689991955893
episode: 33, score: -200.83640079462617, average_score : -175.06259942126746, number of frames: 125, epsilon: 0.9341968611971981
episode: 34, score: -205.77294661575883, average_score : -175.94003791253863, number of frames: 94, epsilon: 0.9323284674748037
episode: 35, score: -143.94393019241568, average_score : -175.05125714253523, number of frames: 81, epsilon: 0.930463810539854
episode: 36, score: -153.09741472426543, average_score : -174.45791005014954, number of frames: 75, epsilon: 0.9286028829187744
episode: 37, score: -202.59013135145312, average_score : -175.19823166334174, number of frames: 130, epsilon: 0.9267456771529368
episode: 38, score: -84.88202177599058, average_score : -172.88243140981993, number of frames: 79, epsilon: 0.9248921857986309
episode: 39, score: -198.34992837866548, average_score : -173.51911883404105, number of frames: 79, epsilon: 0.9230424014270336
episode: 40, score: -145.79639470429203, average_score : -172.84295483087644, number of frames: 110, epsilon: 0.9211963166241796
episode: 41, score: -210.6753266600095, average_score : -173.74372558871295, number of frames: 64, epsilon: 0.9193539239909312
episode: 42, score: -342.7533086598197, average_score : -177.67418100897123, number of frames: 105, epsilon: 0.9175152161429493
episode: 43, score: -282.78219875252694, average_score : -180.06299959405203, number of frames: 71, epsilon: 0.9156801857106633
episode: 44, score: -276.9106179726331, average_score : -182.2151688913538, number of frames: 79, epsilon: 0.913848825339242
episode: 45, score: 6.265153024748088, average_score : -178.11777058882987, number of frames: 144, epsilon: 0.9120211276885636
episode: 46, score: -293.8787304393414, average_score : -180.58076973458543, number of frames: 125, epsilon: 0.9101970854331864
episode: 47, score: -107.1639901435566, average_score : -179.0512534931057, number of frames: 102, epsilon: 0.9083766912623201
episode: 48, score: -130.48560342784742, average_score : -178.06011777748816, number of frames: 88, epsilon: 0.9065599378797955
episode: 49, score: -95.39045160379689, average_score : -176.40672445401432, number of frames: 96, epsilon: 0.9047468180040359
episode: 50, score: -303.6873250692407, average_score : -178.9024225052933, number of frames: 120, epsilon: 0.9029373243680279
episode: 51, score: -400.7337665714178, average_score : -183.1684098911803, number of frames: 87, epsilon: 0.9011314497192918
episode: 52, score: -194.3328767804337, average_score : -183.37906020984548, number of frames: 64, epsilon: 0.8993291868198532
episode: 53, score: -183.11012638964772, average_score : -183.37407995391587, number of frames: 87, epsilon: 0.8975305284462135
episode: 54, score: -264.9788356100773, average_score : -184.8578027840279, number of frames: 104, epsilon: 0.8957354673893211
episode: 55, score: -92.29150359490654, average_score : -183.20483315565073, number of frames: 89, epsilon: 0.8939439964545425
episode: 56, score: -91.31198727864647, average_score : -181.5926779648261, number of frames: 99, epsilon: 0.8921561084616334
episode: 57, score: -256.25453207153976, average_score : -182.87995131149358, number of frames: 119, epsilon: 0.8903717962447101
episode: 58, score: -87.46320172282707, average_score : -181.26271826761788, number of frames: 75, epsilon: 0.8885910526522206
episode: 59, score: -103.6207842303937, average_score : -179.96868603366414, number of frames: 105, epsilon: 0.8868138705469162
episode: 60, score: -47.99104438682038, average_score : -177.80511813781425, number of frames: 95, epsilon: 0.8850402428058224
