Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.000000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.998000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 58, score: -102.43247089954933, average_score : -199.51084613609484, number of frames: 105, epsilon: 0.8885910526522206
episode: 59, score: -112.62319877111845, average_score : -198.0627186800119, number of frames: 87, epsilon: 0.8868138705469162
episode: 60, score: -155.1405089194297, average_score : -197.35907589705153, number of frames: 93, epsilon: 0.8850402428058224
episode: 61, score: -98.18391375083083, average_score : -195.75947650759636, number of frames: 71, epsilon: 0.8832701623202107
episode: 62, score: -320.7815686304375, average_score : -197.74395416033988, number of frames: 121, epsilon: 0.8815036219955703
episode: 63, score: -95.85387975326341, average_score : -196.15192174772932, number of frames: 85, epsilon: 0.8797406147515792
episode: 64, score: -79.90930962649315, average_score : -194.36357386894107, number of frames: 79, epsilon: 0.877981133522076
episode: 65, score: -278.46106810749404, average_score : -195.63777832710096, number of frames: 111, epsilon: 0.8762251712550319
episode: 66, score: -20.775245194812868, average_score : -193.0278897728877, number of frames: 118, epsilon: 0.8744727209125218
episode: 67, score: -401.9671175592461, average_score : -196.10052547562827, number of frames: 154, epsilon: 0.8727237754706968
episode: 68, score: -366.5411395367213, average_score : -198.57067930260064, number of frames: 129, epsilon: 0.8709783279197554
episode: 69, score: -58.241703847929415, average_score : -196.56597965324818, number of frames: 66, epsilon: 0.8692363712639158
episode: 70, score: -50.72383668190499, average_score : -194.51186496351096, number of frames: 70, epsilon: 0.867497898521388
episode: 71, score: -139.72891550590523, average_score : -193.75099066548864, number of frames: 137, epsilon: 0.8657629027243453
episode: 72, score: -155.42845338335098, average_score : -193.22602440134978, number of frames: 90, epsilon: 0.8640313769188966
episode: 73, score: -57.46974801389776, average_score : -191.39148012584366, number of frames: 95, epsilon: 0.8623033141650589
episode: 74, score: -94.20886598310452, average_score : -190.09571193727382, number of frames: 91, epsilon: 0.8605787075367288
episode: 75, score: -103.36301626214251, average_score : -188.95449225733788, number of frames: 67, epsilon: 0.8588575501216553
episode: 76, score: -284.22159553134924, average_score : -190.19172736479257, number of frames: 68, epsilon: 0.857139835021412
episode: 77, score: -273.4229168554824, average_score : -191.2587938967245, number of frames: 104, epsilon: 0.8554255553513692
episode: 78, score: -367.36583660254644, average_score : -193.48799696895009, number of frames: 113, epsilon: 0.8537147042406664
episode: 79, score: -80.92564476414637, average_score : -192.08096756639003, number of frames: 84, epsilon: 0.8520072748321851
episode: 80, score: -335.0100857835622, average_score : -193.84552458141687, number of frames: 120, epsilon: 0.8503032602825207
episode: 81, score: -119.3608170945603, average_score : -192.93717449011373, number of frames: 92, epsilon: 0.8486026537619556
episode: 82, score: -128.65784600253357, average_score : -192.1627247492995, number of frames: 101, epsilon: 0.8469054484544317
episode: 83, score: -413.59703145868104, average_score : -194.79884744822073, number of frames: 136, epsilon: 0.8452116375575228
episode: 84, score: -383.8231467593662, average_score : -197.02266273423422, number of frames: 92, epsilon: 0.8435212142824078
episode: 85, score: -206.64295872954335, average_score : -197.1345266411564, number of frames: 100, epsilon: 0.841834171853843
episode: 86, score: -213.81287716294474, average_score : -197.32623181956777, number of frames: 112, epsilon: 0.8401505035101353
episode: 87, score: -202.47433447316678, average_score : -197.38473298608594, number of frames: 100, epsilon: 0.838470202503115
episode: 88, score: -92.92829442377912, average_score : -196.21106513707124, number of frames: 71, epsilon: 0.8367932620981088
episode: 89, score: -398.0754795438313, average_score : -198.45400307492412, number of frames: 113, epsilon: 0.8351196755739125
episode: 90, score: -289.45505888287346, average_score : -199.45401467720927, number of frames: 120, epsilon: 0.8334494362227647
episode: 91, score: -67.50292170279593, average_score : -198.01976366661782, number of frames: 72, epsilon: 0.8317825373503192
episode: 92, score: -189.5912104657526, average_score : -197.9291340623074, number of frames: 121, epsilon: 0.8301189722756185
episode: 93, score: -308.5659776925896, average_score : -199.1061217605019, number of frames: 118, epsilon: 0.8284587343310672
episode: 94, score: -172.49053763136425, average_score : -198.8259577170373, number of frames: 102, epsilon: 0.8268018168624051
episode: 95, score: -93.09465501247422, average_score : -197.72458998053148, number of frames: 132, epsilon: 0.8251482132286803
episode: 96, score: -269.4235704973895, average_score : -198.46375472812795, number of frames: 88, epsilon: 0.823497916802223
episode: 97, score: -224.94584363723504, average_score : -198.73398012515963, number of frames: 69, epsilon: 0.8218509209686186
episode: 98, score: -51.977388217925295, average_score : -197.25159030791485, number of frames: 80, epsilon: 0.8202072191266814
episode: 99, score: -238.352838899791, average_score : -197.6626027938336, number of frames: 95, epsilon: 0.818566804688428
episode: 100, score: -100.15237305828188, average_score : -194.51755636923193, number of frames: 85, epsilon: 0.8169296710790511
episode: 101, score: -127.13442478357067, average_score : -191.59368807704598, number of frames: 156, epsilon: 0.815295811736893
episode: 102, score: -302.45918723564284, average_score : -191.32582457642715, number of frames: 119, epsilon: 0.8136652201134192
episode: 103, score: -41.114838036194435, average_score : -190.5976894792162, number of frames: 113, epsilon: 0.8120378896731923
episode: 104, score: -219.3531403165972, average_score : -189.36102190821188, number of frames: 131, epsilon: 0.8104138138938459
episode: 105, score: -111.24934343421617, average_score : -188.52732548037847, number of frames: 119, epsilon: 0.8087929862660582
episode: 106, score: -120.48043876993259, average_score : -188.73954857238044, number of frames: 106, epsilon: 0.8071754002935261
episode: 107, score: -275.1069253228935, average_score : -190.84718259297463, number of frames: 100, epsilon: 0.805561049492939
episode: 108, score: -340.34717942152014, average_score : -192.98525998870969, number of frames: 119, epsilon: 0.8039499273939532
episode: 109, score: -218.5837019088892, average_score : -194.12319428564695, number of frames: 173, epsilon: 0.8023420275391653
episode: 110, score: -152.83660272822203, average_score : -194.0464570832951, number of frames: 149, epsilon: 0.800737343484087
episode: 111, score: -378.6235111002315, average_score : -197.0705024807907, number of frames: 92, epsilon: 0.7991358687971188
episode: 112, score: -27.636171709089723, average_score : -196.76940402417782, number of frames: 75, epsilon: 0.7975375970595246
episode: 113, score: -183.09944506620758, average_score : -196.84650978576104, number of frames: 135, epsilon: 0.7959425218654056
episode: 114, score: -79.58362317398263, average_score : -194.67533360178967, number of frames: 154, epsilon: 0.7943506368216747
episode: 115, score: -39.72096465037892, average_score : -193.13790312584905, number of frames: 183, epsilon: 0.7927619355480314
episode: 116, score: -35.759537154944425, average_score : -192.26057171958357, number of frames: 107, epsilon: 0.7911764116769353
episode: 117, score: -49.09079795311865, average_score : -191.64722382643689, number of frames: 86, epsilon: 0.7895940588535815
episode: 118, score: -63.195193249427234, average_score : -191.28739091733013, number of frames: 89, epsilon: 0.7880148707358743
episode: 119, score: -99.39360505792558, average_score : -190.93260928219817, number of frames: 67, epsilon: 0.7864388409944025
episode: 120, score: -125.22940150236352, average_score : -191.1331849824327, number of frames: 136, epsilon: 0.7848659633124138
episode: 121, score: -362.377462772375, average_score : -193.41311573962048, number of frames: 140, epsilon: 0.783296231385789
episode: 122, score: -95.23803668189537, average_score : -192.88941443550797, number of frames: 90, epsilon: 0.7817296389230174
episode: 123, score: -240.57523945845105, average_score : -193.42233227059293, number of frames: 93, epsilon: 0.7801661796451713
episode: 124, score: -82.68075808814757, average_score : -189.81604577724886, number of frames: 104, epsilon: 0.778605847285881
