Beginning Episodes...
----------HyperParameters Used----------
----------Batch Size  :64
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.995000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 58, score: -103.72001898971097, average_score : -185.51811608061607, number of frames: 104, epsilon: 0.7439808620067382
episode: 59, score: -151.18211724219282, average_score : -184.945849433309, number of frames: 155, epsilon: 0.7402609576967045
episode: 60, score: -63.87566230680994, average_score : -182.9610922673008, number of frames: 98, epsilon: 0.736559652908221
episode: 61, score: -236.40828283898563, average_score : -183.82314372813445, number of frames: 105, epsilon: 0.7328768546436799
episode: 62, score: -84.22593426821442, average_score : -182.24223564146902, number of frames: 188, epsilon: 0.7292124703704616
episode: 63, score: -117.59417579601259, average_score : -181.2321097063838, number of frames: 90, epsilon: 0.7255664080186093
episode: 64, score: -120.88062891623436, average_score : -180.30362538653534, number of frames: 144, epsilon: 0.7219385759785162
episode: 65, score: -43.30377120910674, average_score : -178.22787002021067, number of frames: 132, epsilon: 0.7183288830986236
episode: 66, score: -119.1218950248648, average_score : -177.34569128893685, number of frames: 131, epsilon: 0.7147372386831305
episode: 67, score: -145.95063127257663, average_score : -176.88399922987273, number of frames: 109, epsilon: 0.7111635524897149
episode: 68, score: -181.14283282642288, average_score : -176.94572145590968, number of frames: 131, epsilon: 0.7076077347272662
episode: 69, score: -31.85991284650298, average_score : -174.87306704720388, number of frames: 95, epsilon: 0.7040696960536299
episode: 70, score: -61.280835620214845, average_score : -173.27317646372515, number of frames: 108, epsilon: 0.7005493475733617
episode: 71, score: -40.132275572626384, average_score : -171.42399728468212, number of frames: 170, epsilon: 0.697046600835495
episode: 72, score: -43.367864142892095, average_score : -169.66980368000006, number of frames: 83, epsilon: 0.6935613678313175
episode: 73, score: -116.8427456831692, average_score : -168.95592451788073, number of frames: 133, epsilon: 0.6900935609921609
episode: 74, score: -171.69521669646835, average_score : -168.9924484135952, number of frames: 117, epsilon: 0.6866430931872001
episode: 75, score: -141.0144375975457, average_score : -168.6243166923314, number of frames: 136, epsilon: 0.6832098777212641
episode: 76, score: -155.37447055989563, average_score : -168.45224076853356, number of frames: 106, epsilon: 0.6797938283326578
episode: 77, score: -48.05412875445501, average_score : -166.90867522989151, number of frames: 91, epsilon: 0.6763948591909945
episode: 78, score: -170.46413347420105, average_score : -166.9536810304524, number of frames: 128, epsilon: 0.6730128848950395
episode: 79, score: -16.105666229147715, average_score : -165.0680808454361, number of frames: 79, epsilon: 0.6696478204705644
episode: 80, score: -169.93954687148664, average_score : -165.12822240131325, number of frames: 210, epsilon: 0.6662995813682115
episode: 81, score: -117.50030167139067, average_score : -164.54739409972885, number of frames: 162, epsilon: 0.6629680834613705
episode: 82, score: -116.23688179956099, average_score : -163.96533973466657, number of frames: 111, epsilon: 0.6596532430440636
episode: 83, score: -100.86586232370048, average_score : -163.21415547977412, number of frames: 81, epsilon: 0.6563549768288433
episode: 84, score: -52.218679623897984, average_score : -161.90832635205794, number of frames: 192, epsilon: 0.653073201944699
episode: 85, score: -151.04287923272645, average_score : -161.7819839436936, number of frames: 98, epsilon: 0.6498078359349755
episode: 86, score: -108.99348806476944, average_score : -161.1752196232462, number of frames: 155, epsilon: 0.6465587967553006
episode: 87, score: 8.652470184207345, average_score : -159.2453595117979, number of frames: 117, epsilon: 0.6433260027715241
episode: 88, score: -121.33368961740213, average_score : -158.8193856927597, number of frames: 115, epsilon: 0.6401093727576664
episode: 89, score: -79.75550746630998, average_score : -157.9408981569103, number of frames: 138, epsilon: 0.6369088258938781
episode: 90, score: -86.52740251299875, average_score : -157.15613446851566, number of frames: 148, epsilon: 0.6337242817644086
episode: 91, score: -117.12005193819628, average_score : -156.72095965840347, number of frames: 146, epsilon: 0.6305556603555866
episode: 92, score: -151.59892770899071, average_score : -156.6658840460442, number of frames: 171, epsilon: 0.6274028820538087
episode: 93, score: -96.07724178859056, average_score : -156.02132402202875, number of frames: 153, epsilon: 0.6242658676435396
episode: 94, score: -80.49370669775847, average_score : -155.22629647124694, number of frames: 175, epsilon: 0.6211445383053219
episode: 95, score: -98.60391317950155, average_score : -154.6364799786246, number of frames: 137, epsilon: 0.6180388156137953
episode: 96, score: -121.3353270399573, average_score : -154.29316912358678, number of frames: 117, epsilon: 0.6149486215357263
episode: 97, score: -121.83310157845526, average_score : -153.96194394455483, number of frames: 101, epsilon: 0.6118738784280476
episode: 98, score: -169.98556963810995, average_score : -154.12379874954024, number of frames: 146, epsilon: 0.6088145090359074
episode: 99, score: -127.15218341889803, average_score : -153.8540825962338, number of frames: 81, epsilon: 0.6057704364907278
episode: 100, score: -120.48103226248047, average_score : -153.9066388671471, number of frames: 189, epsilon: 0.6027415843082742
episode: 101, score: -139.03776620618618, average_score : -152.73020981993122, number of frames: 142, epsilon: 0.5997278763867329
episode: 102, score: -92.9232053935316, average_score : -151.1062245023155, number of frames: 186, epsilon: 0.5967292370047992
episode: 103, score: -77.62945211376368, average_score : -148.79031809356627, number of frames: 153, epsilon: 0.5937455908197752
episode: 104, score: -91.80424615474402, average_score : -144.43922406045775, number of frames: 104, epsilon: 0.5907768628656763
episode: 105, score: -10.809810824616918, average_score : -141.5207978871291, number of frames: 227, epsilon: 0.5878229785513479
episode: 106, score: -106.62035188627627, average_score : -140.9057653941512, number of frames: 196, epsilon: 0.5848838636585911
episode: 107, score: -127.24773770415852, average_score : -140.84951583023613, number of frames: 301, epsilon: 0.5819594443402982
episode: 108, score: -83.95591119974937, average_score : -140.74581186834203, number of frames: 167, epsilon: 0.5790496471185967
episode: 109, score: -142.07613463742325, average_score : -138.9153111672259, number of frames: 187, epsilon: 0.5761543988830038
episode: 110, score: -81.48037105696613, average_score : -138.17262142786862, number of frames: 125, epsilon: 0.5732736268885887
episode: 111, score: -56.127529556693034, average_score : -137.8552341462647, number of frames: 165, epsilon: 0.5704072587541458
episode: 112, score: -32.490764777244166, average_score : -135.1380498351701, number of frames: 176, epsilon: 0.567555222460375
