Beginning Episodes...
----------HyperParameters Used----------
----------Batch Size  :64
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.995000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 58, score: -140.12684605318088, average_score : -165.43272590683108, number of frames: 127, epsilon: 0.7439808620067382
episode: 59, score: -81.4544884076611, average_score : -164.03308861517823, number of frames: 79, epsilon: 0.7402609576967045
episode: 60, score: -86.33062656731023, average_score : -162.7592777619345, number of frames: 62, epsilon: 0.736559652908221
episode: 61, score: -95.06541787194229, average_score : -161.66744131209592, number of frames: 81, epsilon: 0.7328768546436799
episode: 62, score: -48.2692219882948, average_score : -159.86746957679748, number of frames: 149, epsilon: 0.7292124703704616
episode: 63, score: -157.23106449850053, average_score : -159.82627574744913, number of frames: 98, epsilon: 0.7255664080186093
episode: 64, score: -224.08747547407648, average_score : -160.81490958939725, number of frames: 127, epsilon: 0.7219385759785162
episode: 65, score: -31.33049518928719, average_score : -158.8530245227289, number of frames: 252, epsilon: 0.7183288830986236
episode: 66, score: -125.99747989922398, average_score : -158.36264325969154, number of frames: 154, epsilon: 0.7147372386831305
episode: 67, score: -162.2610396974328, average_score : -158.41997261907008, number of frames: 197, epsilon: 0.7111635524897149
episode: 68, score: -144.5136153558148, average_score : -158.21843120945766, number of frames: 115, epsilon: 0.7076077347272662
episode: 69, score: -186.8119537060993, average_score : -158.62691010226683, number of frames: 148, epsilon: 0.7040696960536299
episode: 70, score: -138.83972117130992, average_score : -158.34821730042236, number of frames: 279, epsilon: 0.7005493475733617
episode: 71, score: -148.9763785331798, average_score : -158.21805287309954, number of frames: 105, epsilon: 0.697046600835495
episode: 72, score: -80.03075625119385, average_score : -157.14699401526522, number of frames: 127, epsilon: 0.6935613678313175
episode: 73, score: -115.26278531508868, average_score : -156.58099119499255, number of frames: 104, epsilon: 0.6900935609921609
episode: 74, score: -218.16785466219676, average_score : -157.40214937455528, number of frames: 195, epsilon: 0.6866430931872001
episode: 75, score: -86.62832331081594, average_score : -156.47091482108502, number of frames: 96, epsilon: 0.6832098777212641
episode: 76, score: -52.05898785213887, average_score : -155.11491576954026, number of frames: 187, epsilon: 0.6797938283326578
episode: 77, score: -193.84084518048317, average_score : -155.61140204403952, number of frames: 140, epsilon: 0.6763948591909945
episode: 78, score: -76.25063481925552, average_score : -154.60683537030806, number of frames: 89, epsilon: 0.6730128848950395
episode: 79, score: -18.988796038114515, average_score : -152.9116098786557, number of frames: 156, epsilon: 0.6696478204705644
episode: 80, score: -99.77715150378212, average_score : -152.25562891106466, number of frames: 112, epsilon: 0.6662995813682115
episode: 81, score: -166.632187981804, average_score : -152.43095280217125, number of frames: 123, epsilon: 0.6629680834613705
episode: 82, score: -118.86508144843464, average_score : -152.026544713572, number of frames: 124, epsilon: 0.6596532430440636
episode: 83, score: -277.590021539846, average_score : -153.52134800912287, number of frames: 185, epsilon: 0.6563549768288433
episode: 84, score: -8.939044539199003, average_score : -151.82037973300612, number of frames: 97, epsilon: 0.653073201944699
episode: 85, score: -99.94635956742954, average_score : -151.21719345201106, number of frames: 121, epsilon: 0.6498078359349755
episode: 86, score: -75.4049519033027, average_score : -150.34578837673854, number of frames: 124, epsilon: 0.6465587967553006
episode: 87, score: -115.16879650307325, average_score : -149.94604983271964, number of frames: 167, epsilon: 0.6433260027715241
episode: 88, score: -196.6597216960581, average_score : -150.47092255028522, number of frames: 117, epsilon: 0.6401093727576664
episode: 89, score: -148.95874291870211, average_score : -150.45412055437873, number of frames: 199, epsilon: 0.6369088258938781
episode: 90, score: -301.32600610804025, average_score : -152.11205336266073, number of frames: 219, epsilon: 0.6337242817644086
episode: 91, score: -95.17823774957091, average_score : -151.49320754077934, number of frames: 123, epsilon: 0.6305556603555866
episode: 92, score: -71.35440092246552, average_score : -150.63149994273294, number of frames: 124, epsilon: 0.6274028820538087
