Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.000000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.998000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 0, score: -92.3399558806323, average_score : -92.3399558806323, number of frames: 76, epsilon: 0.998
episode: 1, score: -128.77702168785646, average_score : -110.55848878424439, number of frames: 83, epsilon: 0.996004
episode: 2, score: -203.6743570507738, average_score : -141.5971115397542, number of frames: 110, epsilon: 0.994011992
episode: 3, score: -80.9636113914127, average_score : -126.43873650266882, number of frames: 96, epsilon: 0.992023968016
episode: 4, score: -7.284900587651208, average_score : -102.60796931966529, number of frames: 91, epsilon: 0.990039920079968
episode: 5, score: -178.54769757112223, average_score : -115.26459069490811, number of frames: 90, epsilon: 0.9880598402398081
episode: 6, score: -202.11819676253734, average_score : -127.67224870456941, number of frames: 82, epsilon: 0.9860837205593285
episode: 7, score: -165.9503548760374, average_score : -132.45701197600292, number of frames: 64, epsilon: 0.9841115531182099
episode: 8, score: -191.60332211852665, average_score : -139.0288242140611, number of frames: 93, epsilon: 0.9821433300119734
episode: 9, score: -174.79351547069496, average_score : -142.60529333972448, number of frames: 112, epsilon: 0.9801790433519495
episode: 10, score: -274.93385043414247, average_score : -154.63516216648975, number of frames: 98, epsilon: 0.9782186852652456
episode: 11, score: -203.8236295085944, average_score : -158.73420111166516, number of frames: 124, epsilon: 0.976262247894715
episode: 12, score: -275.6778355441387, average_score : -167.7298652987785, number of frames: 103, epsilon: 0.9743097233989256
episode: 13, score: -182.0109835383666, average_score : -168.74994517303477, number of frames: 98, epsilon: 0.9723611039521278
episode: 14, score: -95.52241169183483, average_score : -163.86810960762145, number of frames: 80, epsilon: 0.9704163817442236
episode: 15, score: -113.8474559971645, average_score : -160.74181875696792, number of frames: 154, epsilon: 0.9684755489807352
episode: 16, score: -115.96534407939969, average_score : -158.10790848181682, number of frames: 126, epsilon: 0.9665385978827737
episode: 17, score: -173.50221569735868, average_score : -158.96314777156917, number of frames: 132, epsilon: 0.9646055206870082
episode: 18, score: -40.180627439814415, average_score : -152.71143617516103, number of frames: 115, epsilon: 0.9626763096456342
episode: 19, score: -76.21840730854706, average_score : -148.88678473183032, number of frames: 63, epsilon: 0.9607509570263429
episode: 20, score: -158.6127720705391, average_score : -149.34992698605453, number of frames: 90, epsilon: 0.9588294551122902
