Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :64
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.998000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 0, score: -211.22575254824085, average_score : -211.22575254824085, number of frames: 119, epsilon: 0.998
episode: 1, score: -138.72685292475373, average_score : -174.9763027364973, number of frames: 107, epsilon: 0.996004
episode: 2, score: -107.99265913232529, average_score : -152.64842153510662, number of frames: 104, epsilon: 0.994011992
episode: 3, score: -300.9184752390614, average_score : -189.71593496109534, number of frames: 98, epsilon: 0.992023968016
episode: 4, score: -259.72749653354737, average_score : -203.71824727558572, number of frames: 103, epsilon: 0.990039920079968
episode: 5, score: -113.66930225675361, average_score : -188.71008977244705, number of frames: 104, epsilon: 0.9880598402398081
episode: 6, score: -155.28063939958383, average_score : -183.93445400489514, number of frames: 68, epsilon: 0.9860837205593285
episode: 7, score: -110.82237185130303, average_score : -174.79544373569615, number of frames: 62, epsilon: 0.9841115531182099
episode: 8, score: -157.01136520744976, average_score : -172.81943501033544, number of frames: 96, epsilon: 0.9821433300119734
episode: 9, score: -52.25791592341263, average_score : -160.76328310164314, number of frames: 80, epsilon: 0.9801790433519495
episode: 10, score: -75.02794315972316, average_score : -152.96916128874133, number of frames: 73, epsilon: 0.9782186852652456
episode: 11, score: -235.2308578636625, average_score : -159.82430266998477, number of frames: 101, epsilon: 0.976262247894715
episode: 12, score: -153.77434340004748, average_score : -159.35892118768191, number of frames: 77, epsilon: 0.9743097233989256
episode: 13, score: -74.29020145523259, average_score : -153.2825840639355, number of frames: 73, epsilon: 0.9723611039521278
episode: 14, score: -73.47427084356175, average_score : -147.96202984924395, number of frames: 137, epsilon: 0.9704163817442236
episode: 15, score: -76.39798770306679, average_score : -143.48927721510788, number of frames: 91, epsilon: 0.9684755489807352
episode: 16, score: -64.20064796833458, average_score : -138.8252402005918, number of frames: 149, epsilon: 0.9665385978827737
episode: 17, score: -166.5588257507997, average_score : -140.36599495338112, number of frames: 79, epsilon: 0.9646055206870082
episode: 18, score: -283.8666558595031, average_score : -147.91866131686123, number of frames: 92, epsilon: 0.9626763096456342
episode: 19, score: -215.04228938343743, average_score : -151.27484272019007, number of frames: 85, epsilon: 0.9607509570263429
episode: 20, score: -171.3391892809356, average_score : -152.23028779451127, number of frames: 59, epsilon: 0.9588294551122902
episode: 21, score: -95.48928126837477, average_score : -149.65115113423232, number of frames: 73, epsilon: 0.9569117962020657
episode: 22, score: -59.37872994737391, average_score : -145.72626325654284, number of frames: 112, epsilon: 0.9549979726096616
