Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :64
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.995000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 0, score: -169.09566812726092, average_score : -169.09566812726092, number of frames: 72, epsilon: 0.995
episode: 1, score: -78.91623842710541, average_score : -124.00595327718317, number of frames: 139, epsilon: 0.990025
episode: 2, score: -102.05268337806152, average_score : -116.68819664414262, number of frames: 131, epsilon: 0.985074875
episode: 3, score: -286.1023049510886, average_score : -159.04172372087913, number of frames: 102, epsilon: 0.9801495006250001
episode: 4, score: -196.1521997295397, average_score : -166.46381892261124, number of frames: 73, epsilon: 0.9752487531218751
episode: 5, score: -305.6945518393188, average_score : -189.66894107539585, number of frames: 108, epsilon: 0.9703725093562657
episode: 6, score: -123.60509878595963, average_score : -180.2312493197621, number of frames: 78, epsilon: 0.9655206468094844
episode: 7, score: -184.58414178608646, average_score : -180.77536087805262, number of frames: 72, epsilon: 0.960693043575437
episode: 8, score: -220.42242002035158, average_score : -185.1805896716414, number of frames: 77, epsilon: 0.9558895783575597
episode: 9, score: -93.58501808397895, average_score : -176.02103251287514, number of frames: 104, epsilon: 0.9511101304657719
episode: 10, score: -92.39427842099869, average_score : -168.41860032270458, number of frames: 97, epsilon: 0.946354579813443
episode: 11, score: -127.48375953164214, average_score : -165.00736359011603, number of frames: 107, epsilon: 0.9416228069143757
episode: 12, score: -157.78330324685777, average_score : -164.45166664063464, number of frames: 108, epsilon: 0.9369146928798039
episode: 13, score: -88.46737716453123, average_score : -159.02421739234154, number of frames: 64, epsilon: 0.9322301194154049
episode: 14, score: -144.6169771501981, average_score : -158.06373470953199, number of frames: 86, epsilon: 0.9275689688183278
episode: 15, score: -114.2854518863419, average_score : -155.3275920330826, number of frames: 63, epsilon: 0.9229311239742362
episode: 16, score: -101.0653570400727, average_score : -152.1356958570232, number of frames: 82, epsilon: 0.918316468354365
episode: 17, score: -285.66588893026204, average_score : -159.55403991664758, number of frames: 101, epsilon: 0.9137248860125932
episode: 18, score: -127.27501753014721, average_score : -157.85514400156862, number of frames: 122, epsilon: 0.9091562615825302
episode: 19, score: -223.18007661274115, average_score : -161.12139063212723, number of frames: 87, epsilon: 0.9046104802746175
episode: 20, score: -64.97276979125282, average_score : -156.54288487779988, number of frames: 81, epsilon: 0.9000874278732445
episode: 21, score: -75.87195771954076, average_score : -152.87602455242447, number of frames: 100, epsilon: 0.8955869907338783
episode: 22, score: -32.72635702560538, average_score : -147.6521259643019, number of frames: 92, epsilon: 0.8911090557802088
episode: 23, score: -440.92024658283583, average_score : -159.87163099007412, number of frames: 105, epsilon: 0.8866535105013078
episode: 24, score: -211.45123956543662, average_score : -161.93481533308864, number of frames: 81, epsilon: 0.8822202429488013
episode: 25, score: -146.34769939320154, average_score : -161.3353108738622, number of frames: 108, epsilon: 0.8778091417340573
episode: 26, score: -165.55757782559235, average_score : -161.4916911313337, number of frames: 90, epsilon: 0.8734200960253871
episode: 27, score: -424.3691550931312, average_score : -170.8801719871122, number of frames: 113, epsilon: 0.8690529955452602
episode: 28, score: -231.16139108802173, average_score : -172.95883471472976, number of frames: 122, epsilon: 0.8647077305675338
episode: 29, score: -105.3873137104527, average_score : -170.70645068125387, number of frames: 61, epsilon: 0.8603841919146962
episode: 30, score: -375.3385538286714, average_score : -177.30748626665442, number of frames: 138, epsilon: 0.8560822709551227
episode: 31, score: -240.75844123123244, average_score : -179.2903286092975, number of frames: 124, epsilon: 0.851801859600347
episode: 32, score: -106.84749007253686, average_score : -177.0950910778805, number of frames: 65, epsilon: 0.8475428503023453
episode: 33, score: -309.1547792104128, average_score : -180.97919955236674, number of frames: 98, epsilon: 0.8433051360508336
episode: 34, score: -64.28300693085725, average_score : -177.64502262032363, number of frames: 98, epsilon: 0.8390886103705794
episode: 35, score: -80.97460823233499, average_score : -174.9597333317684, number of frames: 126, epsilon: 0.8348931673187264
episode: 36, score: -161.52079302017387, average_score : -174.59651872875233, number of frames: 76, epsilon: 0.8307187014821328
episode: 37, score: -123.59598804585508, average_score : -173.25439950025503, number of frames: 92, epsilon: 0.8265651079747222
episode: 38, score: -121.18738887636145, average_score : -171.91934794579623, number of frames: 114, epsilon: 0.8224322824348486
episode: 39, score: -175.93989604345444, average_score : -172.01986164823762, number of frames: 111, epsilon: 0.8183201210226743
episode: 40, score: -126.25247971484173, average_score : -170.903584040106, number of frames: 116, epsilon: 0.8142285204175609
episode: 41, score: -88.87082686680948, average_score : -168.95042315502755, number of frames: 82, epsilon: 0.810157377815473
episode: 42, score: -135.63227253701587, average_score : -168.17558244298075, number of frames: 98, epsilon: 0.8061065909263957
episode: 43, score: -102.43883430871979, average_score : -166.68156543992936, number of frames: 107, epsilon: 0.8020760579717637
episode: 44, score: -120.3062499807065, average_score : -165.65100287416885, number of frames: 123, epsilon: 0.798065677681905
episode: 45, score: -156.71325919310232, average_score : -165.45670409849347, number of frames: 114, epsilon: 0.7940753492934954
episode: 46, score: -134.62785680751603, average_score : -164.80077117740885, number of frames: 120, epsilon: 0.7901049725470279
episode: 47, score: -251.93350189462458, average_score : -166.6160364006842, number of frames: 115, epsilon: 0.7861544476842928
episode: 48, score: -117.24817644696509, average_score : -165.60852905468994, number of frames: 180, epsilon: 0.7822236754458713
episode: 49, score: -117.09966837076499, average_score : -164.63835184101143, number of frames: 90, epsilon: 0.778312557068642
episode: 50, score: -158.51602766611603, average_score : -164.51830626895463, number of frames: 139, epsilon: 0.7744209942832988
episode: 51, score: -69.23252039127017, average_score : -162.6858873097684, number of frames: 133, epsilon: 0.7705488893118823
episode: 52, score: -130.52413649388265, average_score : -162.0790618226762, number of frames: 112, epsilon: 0.7666961448653229
episode: 53, score: -127.20034610212406, average_score : -161.433159679703, number of frames: 98, epsilon: 0.7628626641409962
episode: 54, score: -178.59318390598673, average_score : -161.74516012018088, number of frames: 114, epsilon: 0.7590483508202912
episode: 55, score: -57.17283920362671, average_score : -159.87779724667104, number of frames: 65, epsilon: 0.7552531090661897
episode: 56, score: -122.1050268968944, average_score : -159.215117065096, number of frames: 69, epsilon: 0.7514768435208588
episode: 57, score: -31.224825353769305, average_score : -157.00838789765933, number of frames: 84, epsilon: 0.7477194593032545
episode: 58, score: -128.72385803279076, average_score : -156.52898908639037, number of frames: 130, epsilon: 0.7439808620067382
episode: 59, score: -99.76030245465552, average_score : -155.58284430919477, number of frames: 85, epsilon: 0.7402609576967045
episode: 60, score: -144.56943481248373, average_score : -155.40229661252738, number of frames: 124, epsilon: 0.736559652908221
episode: 61, score: -109.27182197451505, average_score : -154.65825669901105, number of frames: 99, epsilon: 0.7328768546436799
episode: 62, score: -70.80421215097094, average_score : -153.32724011888345, number of frames: 87, epsilon: 0.7292124703704616
episode: 63, score: -383.0333650524938, average_score : -156.91639832097113, number of frames: 111, epsilon: 0.7255664080186093
episode: 64, score: -172.8829313958421, average_score : -157.16203729135376, number of frames: 107, epsilon: 0.7219385759785162
episode: 65, score: -101.67537236768364, average_score : -156.3213302470557, number of frames: 76, epsilon: 0.7183288830986236
episode: 66, score: -250.85433970648367, average_score : -157.73227068674865, number of frames: 129, epsilon: 0.7147372386831305
episode: 67, score: -70.02082952534343, average_score : -156.4423965520221, number of frames: 101, epsilon: 0.7111635524897149
episode: 68, score: -80.30893378785227, average_score : -155.3390130337008, number of frames: 86, epsilon: 0.7076077347272662
episode: 69, score: -88.08443771905806, average_score : -154.37823338634877, number of frames: 135, epsilon: 0.7040696960536299
episode: 70, score: -3.1379511294242803, average_score : -152.2480885658287, number of frames: 172, epsilon: 0.7005493475733617
episode: 71, score: -116.14377026025139, average_score : -151.74663970047348, number of frames: 135, epsilon: 0.697046600835495
episode: 72, score: -77.76633203891922, average_score : -150.73321082839738, number of frames: 138, epsilon: 0.6935613678313175
episode: 73, score: -136.32570792162292, average_score : -150.5385148431707, number of frames: 169, epsilon: 0.6900935609921609
episode: 74, score: -125.24918448222259, average_score : -150.20132377169142, number of frames: 86, epsilon: 0.6866430931872001
episode: 75, score: -336.5680643098832, average_score : -152.6535177261413, number of frames: 131, epsilon: 0.6832098777212641
episode: 76, score: -206.1324420484384, average_score : -153.34804921084645, number of frames: 63, epsilon: 0.6797938283326578
episode: 77, score: -149.17467223722736, average_score : -153.29454437785137, number of frames: 144, epsilon: 0.6763948591909945
episode: 78, score: -4.377357033761683, average_score : -151.4095166899515, number of frames: 108, epsilon: 0.6730128848950395
episode: 79, score: 0.8515440888974268, average_score : -149.50625343021585, number of frames: 141, epsilon: 0.6696478204705644
episode: 80, score: -35.88152613820584, average_score : -148.1034790192034, number of frames: 145, epsilon: 0.6662995813682115
episode: 81, score: -48.57116443826941, average_score : -146.88967030480177, number of frames: 108, epsilon: 0.6629680834613705
episode: 82, score: -125.2507170081038, average_score : -146.62896002411867, number of frames: 96, epsilon: 0.6596532430440636
episode: 83, score: -83.05360384212881, average_score : -145.87211054576164, number of frames: 112, epsilon: 0.6563549768288433
episode: 84, score: -143.95187349787, average_score : -145.8495195216688, number of frames: 113, epsilon: 0.653073201944699
episode: 85, score: -43.18982980330201, average_score : -144.6558021993622, number of frames: 103, epsilon: 0.6498078359349755
episode: 86, score: -87.52443674691088, average_score : -143.99911983783977, number of frames: 153, epsilon: 0.6465587967553006
episode: 87, score: -26.071829028193036, average_score : -142.65903698773016, number of frames: 108, epsilon: 0.6433260027715241
episode: 88, score: -22.91667927724663, average_score : -141.31361723817415, number of frames: 161, epsilon: 0.6401093727576664
episode: 89, score: -11.439710924484487, average_score : -139.8705738346887, number of frames: 187, epsilon: 0.6369088258938781
episode: 90, score: -75.32651106472149, average_score : -139.1612984196341, number of frames: 160, epsilon: 0.6337242817644086
episode: 91, score: -103.15660576256906, average_score : -138.76994306466602, number of frames: 119, epsilon: 0.6305556603555866
episode: 92, score: -27.054905693919792, average_score : -137.56870610369026, number of frames: 132, epsilon: 0.6274028820538087
episode: 93, score: 26.776459977348267, average_score : -135.8203532730409, number of frames: 110, epsilon: 0.6242658676435396
episode: 94, score: 40.13461118906693, average_score : -133.96819575238715, number of frames: 112, epsilon: 0.6211445383053219
episode: 95, score: -25.81048005467231, average_score : -132.84155288053594, number of frames: 143, epsilon: 0.6180388156137953
episode: 96, score: -120.4299666449447, average_score : -132.7135983832618, number of frames: 114, epsilon: 0.6149486215357263
episode: 97, score: -144.33699906222483, average_score : -132.83220451263898, number of frames: 162, epsilon: 0.6118738784280476
episode: 98, score: -75.77841632010663, average_score : -132.25590362180532, number of frames: 156, epsilon: 0.6088145090359074
episode: 99, score: -24.08683835979288, average_score : -131.17421296918522, number of frames: 158, epsilon: 0.6057704364907278
episode: 100, score: 0.8417889284743865, average_score : -129.47483839862787, number of frames: 112, epsilon: 0.6027415843082742
episode: 101, score: -116.16784535501117, average_score : -129.8473544679069, number of frames: 102, epsilon: 0.5997278763867329
episode: 102, score: -24.17942159861626, average_score : -129.06862185011244, number of frames: 136, epsilon: 0.5967292370047992
episode: 103, score: -63.2005650429559, average_score : -126.83960445103112, number of frames: 82, epsilon: 0.5937455908197752
episode: 104, score: -29.692100643124036, average_score : -125.17500346016695, number of frames: 106, epsilon: 0.5907768628656763
episode: 105, score: -11.925414619382806, average_score : -122.23731208796762, number of frames: 104, epsilon: 0.5878229785513479
episode: 106, score: 60.94098816256587, average_score : -120.39185121848237, number of frames: 115, epsilon: 0.5848838636585911
episode: 107, score: -120.92291860309751, average_score : -119.75523898665247, number of frames: 129, epsilon: 0.5819594443402982
episode: 108, score: -96.29651798443383, average_score : -118.5139799662933, number of frames: 226, epsilon: 0.5790496471185967
episode: 109, score: -47.40216066779674, average_score : -118.05215139213148, number of frames: 119, epsilon: 0.5761543988830038
episode: 110, score: -137.03457833431332, average_score : -118.49855439126459, number of frames: 166, epsilon: 0.5732736268885887
episode: 111, score: -364.6488566448848, average_score : -120.87020536239703, number of frames: 89, epsilon: 0.5704072587541458
episode: 112, score: -83.946415229471, average_score : -120.13183648222315, number of frames: 180, epsilon: 0.567555222460375
episode: 113, score: -43.345926462103094, average_score : -119.68062197519889, number of frames: 171, epsilon: 0.5647174463480732
episode: 114, score: 75.45150042589732, average_score : -117.47993719943794, number of frames: 1000, epsilon: 0.5618938591163328
episode: 115, score: -95.15850976124943, average_score : -117.288667778187, number of frames: 119, epsilon: 0.5590843898207511
episode: 116, score: -20.56998876063625, average_score : -116.48371409539266, number of frames: 145, epsilon: 0.5562889678716474
episode: 117, score: -122.42799078518948, average_score : -114.85133511394193, number of frames: 188, epsilon: 0.5535075230322891
episode: 118, score: -50.34875468051929, average_score : -114.08207248544564, number of frames: 117, epsilon: 0.5507399854171277
episode: 119, score: -26.818021804431353, average_score : -112.11845193736254, number of frames: 223, epsilon: 0.547986285490042
