Beginning Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.050000
----------Epsilon Max :0.700000
----------Epsilon Decau :0.999000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 0, score: -181.01801616530858, average_score : -181.01801616530858, number of frames: 94, epsilon: 0.6992999999999999
episode: 1, score: -60.522671024942774, average_score : -120.77034359512568, number of frames: 59, epsilon: 0.6986007
episode: 2, score: -323.38827140827993, average_score : -188.3096528661771, number of frames: 86, epsilon: 0.6979020992999999
episode: 3, score: -96.86473141324817, average_score : -165.44842250294485, number of frames: 67, epsilon: 0.6972041972006999
episode: 4, score: -64.1197342586477, average_score : -145.1826848540854, number of frames: 60, epsilon: 0.6965069930034993
episode: 5, score: -166.06194870951217, average_score : -148.6625621633232, number of frames: 115, epsilon: 0.6958104860104958
episode: 6, score: -99.45922456108919, average_score : -141.63351393443264, number of frames: 81, epsilon: 0.6951146755244852
episode: 7, score: -167.78068157475028, average_score : -144.90190988947234, number of frames: 100, epsilon: 0.6944195608489607
episode: 8, score: -160.93493605064614, average_score : -146.6833572407139, number of frames: 108, epsilon: 0.6937251412881118
episode: 9, score: -125.6707905929887, average_score : -144.58210057594135, number of frames: 103, epsilon: 0.6930314161468237
episode: 10, score: -45.5276055997199, average_score : -135.57714648719394, number of frames: 92, epsilon: 0.6923383847306769
episode: 11, score: -290.1196553649324, average_score : -148.45568889367215, number of frames: 130, epsilon: 0.6916460463459462
episode: 12, score: -152.7633761811358, average_score : -148.78704945424627, number of frames: 75, epsilon: 0.6909544002996002
episode: 13, score: -222.53807183018384, average_score : -154.05497962395611, number of frames: 89, epsilon: 0.6902634458993006
episode: 14, score: -21.127505295291684, average_score : -145.19314800204515, number of frames: 102, epsilon: 0.6895731824534013
episode: 15, score: -134.9271818893711, average_score : -144.55152512000302, number of frames: 56, epsilon: 0.6888836092709478
episode: 16, score: -288.7354754282345, average_score : -153.0329339616637, number of frames: 86, epsilon: 0.6881947256616768
episode: 17, score: -138.90148744978762, average_score : -152.2478535998928, number of frames: 90, epsilon: 0.6875065309360151
episode: 18, score: -148.0444792551112, average_score : -152.0266233712201, number of frames: 57, epsilon: 0.6868190244050791
episode: 19, score: -103.50831608166516, average_score : -149.60070800674234, number of frames: 68, epsilon: 0.6861322053806741
episode: 20, score: -142.36883853256728, average_score : -149.25633326987685, number of frames: 115, epsilon: 0.6854460731752934
episode: 21, score: -99.29515056705304, average_score : -146.9853704197485, number of frames: 100, epsilon: 0.684760627102118
episode: 22, score: -120.97823071192359, average_score : -145.85462521506045, number of frames: 74, epsilon: 0.684075866475016
episode: 23, score: -59.379271354233346, average_score : -142.25148547085934, number of frames: 99, epsilon: 0.6833917906085409
episode: 24, score: -223.49740586536868, average_score : -145.50132228663972, number of frames: 107, epsilon: 0.6827083988179324
episode: 25, score: -122.70430101775625, average_score : -144.62451377629804, number of frames: 102, epsilon: 0.6820256904191145
episode: 26, score: -84.77111173573788, average_score : -142.40772110812915, number of frames: 110, epsilon: 0.6813436647286955
episode: 27, score: -156.66245178684858, average_score : -142.91681863236914, number of frames: 77, epsilon: 0.6806623210639667
episode: 28, score: -45.33299666966258, average_score : -139.55185925434478, number of frames: 125, epsilon: 0.6799816587429027
episode: 29, score: -36.41324158408963, average_score : -136.11390533200293, number of frames: 138, epsilon: 0.6793016770841598
episode: 30, score: -99.37117743245311, average_score : -134.92865604492067, number of frames: 131, epsilon: 0.6786223754070756
episode: 31, score: -214.6018015513789, average_score : -137.4184418419975, number of frames: 145, epsilon: 0.6779437530316685
episode: 32, score: -121.28739115945052, average_score : -136.92962212434455, number of frames: 78, epsilon: 0.6772658092786369
episode: 33, score: -283.41697509921767, average_score : -141.23807368242908, number of frames: 154, epsilon: 0.6765885434693583
episode: 34, score: -99.52660516389278, average_score : -140.04631743904233, number of frames: 94, epsilon: 0.6759119549258888
episode: 35, score: -309.1331172642143, average_score : -144.74317298974154, number of frames: 115, epsilon: 0.675236042970963
episode: 36, score: -75.16004832144593, average_score : -142.8625479987065, number of frames: 191, epsilon: 0.674560806927992
episode: 37, score: -270.71880197341454, average_score : -146.22718626119885, number of frames: 92, epsilon: 0.6738862461210641
episode: 38, score: -246.33961971509746, average_score : -148.79417173437574, number of frames: 108, epsilon: 0.673212359874943
episode: 39, score: -358.32210451059603, average_score : -154.03237005378122, number of frames: 136, epsilon: 0.672539147515068
episode: 40, score: -47.8369113141423, average_score : -151.44223691379005, number of frames: 128, epsilon: 0.671866608367553
episode: 41, score: -219.75247276801113, average_score : -153.0686711007953, number of frames: 160, epsilon: 0.6711947417591854
episode: 42, score: -428.44087603297817, average_score : -159.47267586666, number of frames: 124, epsilon: 0.6705235470174262
episode: 43, score: -183.6803135743343, average_score : -160.02284945092535, number of frames: 104, epsilon: 0.6698530234704088
episode: 44, score: -161.25565804212084, average_score : -160.05024519739635, number of frames: 194, epsilon: 0.6691831704469383
episode: 45, score: -404.3907595772903, average_score : -165.3619955100027, number of frames: 121, epsilon: 0.6685139872764914
episode: 46, score: -40.54032603076908, average_score : -162.7062153083169, number of frames: 105, epsilon: 0.6678454732892148
episode: 47, score: -331.13572093713606, average_score : -166.21516334225066, number of frames: 95, epsilon: 0.6671776278159256
episode: 48, score: -109.6969710204585, average_score : -165.06173084588755, number of frames: 179, epsilon: 0.6665104501881097
episode: 49, score: -64.41805956731397, average_score : -163.0488574203161, number of frames: 145, epsilon: 0.6658439397379217
episode: 50, score: -334.9721280469595, average_score : -166.41990194240717, number of frames: 82, epsilon: 0.6651780957981838
episode: 51, score: -270.63068618510545, average_score : -168.42395548553597, number of frames: 158, epsilon: 0.6645129177023856
episode: 52, score: -149.97469406990515, average_score : -168.07585621354298, number of frames: 150, epsilon: 0.6638484047846832
episode: 53, score: -264.38194249747073, average_score : -169.85930225583792, number of frames: 95, epsilon: 0.6631845563798985
episode: 54, score: -163.69610759692824, average_score : -169.74724417113046, number of frames: 116, epsilon: 0.6625213718235186
episode: 55, score: -28.844378457896042, average_score : -167.23112156910838, number of frames: 140, epsilon: 0.661858850451695
episode: 56, score: -160.42554187987588, average_score : -167.11172543420957, number of frames: 172, epsilon: 0.6611969916012433
episode: 57, score: -115.07117385978195, average_score : -166.2144745449953, number of frames: 85, epsilon: 0.6605357946096421
episode: 58, score: -318.0710761540637, average_score : -168.78831525023375, number of frames: 152, epsilon: 0.6598752588150324
episode: 59, score: -111.71847239244634, average_score : -167.83715120260393, number of frames: 110, epsilon: 0.6592153835562173
episode: 60, score: -125.01630391217009, average_score : -167.13517009948208, number of frames: 95, epsilon: 0.6585561681726612
episode: 61, score: -92.14453622629762, average_score : -165.9256437466888, number of frames: 73, epsilon: 0.6578976120044885
episode: 62, score: -126.36423098124163, average_score : -165.29768481390394, number of frames: 73, epsilon: 0.657239714392484
episode: 63, score: -63.153940754433314, average_score : -163.70168881297468, number of frames: 127, epsilon: 0.6565824746780915
episode: 64, score: -224.60491467517505, average_score : -164.638661518547, number of frames: 125, epsilon: 0.6559258922034134
episode: 65, score: -44.84421571917821, average_score : -162.8235941579505, number of frames: 130, epsilon: 0.6552699663112099
episode: 66, score: -151.3772240513263, average_score : -162.65275281307552, number of frames: 160, epsilon: 0.6546146963448988
episode: 67, score: -139.09721998493686, average_score : -162.30634791854408, number of frames: 128, epsilon: 0.6539600816485539
episode: 68, score: -105.92264443005628, average_score : -161.4891927955225, number of frames: 60, epsilon: 0.6533061215669054
episode: 69, score: -146.93237068211334, average_score : -161.2812381939024, number of frames: 94, epsilon: 0.6526528154453385
episode: 70, score: -193.06178451032332, average_score : -161.72885152230268, number of frames: 111, epsilon: 0.6520001626298931
episode: 71, score: -84.15744845522656, average_score : -160.65147092414884, number of frames: 122, epsilon: 0.6513481624672632
episode: 72, score: -110.13581528057605, average_score : -159.95947564136017, number of frames: 141, epsilon: 0.650696814304796
episode: 73, score: -177.57666414174508, average_score : -160.19754575623023, number of frames: 218, epsilon: 0.6500461174904911
episode: 74, score: -98.22439807575418, average_score : -159.37123712049055, number of frames: 135, epsilon: 0.6493960713730006
episode: 75, score: -64.1371623040344, average_score : -158.11815718869508, number of frames: 106, epsilon: 0.6487466753016276
episode: 76, score: -358.0128012532681, average_score : -160.71419152719602, number of frames: 114, epsilon: 0.6480979286263259
episode: 77, score: -175.60118070242646, average_score : -160.90505036277588, number of frames: 122, epsilon: 0.6474498306976996
episode: 78, score: -160.36176477729344, average_score : -160.89817333004825, number of frames: 139, epsilon: 0.6468023808670018
episode: 79, score: -23.327130729565553, average_score : -159.17853529754225, number of frames: 109, epsilon: 0.6461555784861348
episode: 80, score: -186.63425093434552, average_score : -159.51749474984845, number of frames: 89, epsilon: 0.6455094229076487
episode: 81, score: -73.02353459043667, average_score : -158.4626903576605, number of frames: 71, epsilon: 0.644863913484741
episode: 82, score: -95.93762804621848, average_score : -157.7093763539082, number of frames: 78, epsilon: 0.6442190495712563
episode: 83, score: -184.19879243357656, average_score : -158.0247265453328, number of frames: 113, epsilon: 0.6435748305216851
episode: 84, score: -101.35109736740046, average_score : -157.3579779667689, number of frames: 191, epsilon: 0.6429312556911634
episode: 85, score: -75.00371261045497, average_score : -156.40037023006758, number of frames: 159, epsilon: 0.6422883244354722
episode: 86, score: -45.21436114271986, average_score : -155.1223701256153, number of frames: 192, epsilon: 0.6416460361110368
