episode: 69, score: 267.20723611597253, average_score : 261.28272952921094, number of frames: 207, epsilon: 0
episode: 70, score: 279.7037068727538, average_score : 261.5421799143313, number of frames: 241, epsilon: 0
episode: 71, score: 298.4359832386634, average_score : 262.05459384939144, number of frames: 251, epsilon: 0
episode: 72, score: 252.21934895438173, average_score : 261.91986446726804, number of frames: 235, epsilon: 0
episode: 73, score: 260.2224925415584, average_score : 261.8969270088125, number of frames: 215, epsilon: 0
episode: 74, score: 244.39303953924832, average_score : 261.66354184255164, number of frames: 227, epsilon: 0
episode: 75, score: 155.74853239869816, average_score : 260.26992329723777, number of frames: 1000, epsilon: 0
episode: 76, score: 307.0396633278264, average_score : 260.87732251841425, number of frames: 280, epsilon: 0
episode: 77, score: 274.043928579987, average_score : 261.0461251602293, number of frames: 240, epsilon: 0
episode: 78, score: 117.08082416681391, average_score : 259.2237795780341, number of frames: 1000, epsilon: 0
episode: 79, score: 309.8439641452596, average_score : 259.85653188512447, number of frames: 275, epsilon: 0
episode: 80, score: 195.67652802163178, average_score : 259.06418615841466, number of frames: 408, epsilon: 0
episode: 81, score: 271.0568338352764, average_score : 259.210437959352, number of frames: 317, epsilon: 0
episode: 82, score: 247.31993556709764, average_score : 259.0671788943851, number of frames: 263, epsilon: 0
episode: 83, score: 133.53641765381042, average_score : 257.57276507009254, number of frames: 1000, epsilon: 0
episode: 84, score: 264.0190951234008, average_score : 257.64860424719024, number of frames: 232, epsilon: 0
episode: 85, score: 273.84835885806996, average_score : 257.83697348685166, number of frames: 228, epsilon: 0
episode: 86, score: 270.2757673074763, average_score : 257.97994812846804, number of frames: 245, epsilon: 0
episode: 87, score: 276.6197391378731, average_score : 258.19176393539306, number of frames: 256, epsilon: 0
episode: 88, score: 139.50414606785017, average_score : 256.8581951953083, number of frames: 1000, epsilon: 0
episode: 89, score: 247.75095155179835, average_score : 256.75700359926935, number of frames: 230, epsilon: 0
episode: 90, score: 150.7181496412564, average_score : 255.59174146786262, number of frames: 1000, epsilon: 0
episode: 91, score: 285.76785089397544, average_score : 255.91974265727688, number of frames: 263, epsilon: 0
episode: 92, score: 282.61240208024174, average_score : 256.2067605005346, number of frames: 260, epsilon: 0
episode: 93, score: 138.2924643971445, average_score : 254.95235309517935, number of frames: 1000, epsilon: 0
episode: 94, score: 289.10241905870384, average_score : 255.3118274737428, number of frames: 255, epsilon: 0
episode: 95, score: 294.78151531654623, average_score : 255.72297005543865, number of frames: 263, epsilon: 0
episode: 96, score: 161.9166041527741, average_score : 254.7558941182978, number of frames: 1000, epsilon: 0
episode: 97, score: 251.5094580462789, average_score : 254.72276721960372, number of frames: 312, epsilon: 0
episode: 98, score: 276.4942278649113, average_score : 254.94268096349572, number of frames: 222, epsilon: 0
episode: 99, score: 164.0751421185531, average_score : 254.03400557504628, number of frames: 1000, epsilon: 0
episode: 100, score: 270.00664982949377, average_score : 254.26627600419476, number of frames: 234, epsilon: 0
episode: 101, score: 273.50594981963275, average_score : 254.2112901524067, number of frames: 249, epsilon: 0
episode: 102, score: 246.83113157765695, average_score : 254.1061835156307, number of frames: 233, epsilon: 0
episode: 103, score: 261.0701392850449, average_score : 253.93089554722962, number of frames: 220, epsilon: 0
episode: 104, score: 285.2447674565623, average_score : 253.98790206846618, number of frames: 236, epsilon: 0
episode: 105, score: 252.16420164053653, average_score : 253.40461014390152, number of frames: 268, epsilon: 0
episode: 106, score: 271.0077795759081, average_score : 253.41971254168172, number of frames: 241, epsilon: 0
episode: 107, score: 291.7193858928389, average_score : 253.43482798863045, number of frames: 250, epsilon: 0
episode: 108, score: 273.6335116322003, average_score : 253.78214094928265, number of frames: 204, epsilon: 0
episode: 109, score: 277.53781540955276, average_score : 255.1906541933218, number of frames: 225, epsilon: 0
episode: 110, score: 267.63431640017836, average_score : 255.51051460534984, number of frames: 207, epsilon: 0
episode: 111, score: 255.3673366918855, average_score : 255.70172817007503, number of frames: 251, epsilon: 0
episode: 112, score: 280.1327479902263, average_score : 255.53054190990406, number of frames: 236, epsilon: 0
episode: 113, score: 273.62622481503286, average_score : 255.47550432204298, number of frames: 265, epsilon: 0
episode: 114, score: 255.60737080646746, average_score : 255.16094140064132, number of frames: 242, epsilon: 0
episode: 115, score: 271.2292147645735, average_score : 255.0746908768687, number of frames: 258, epsilon: 0
