episode: 69, score: 286.34501217485445, average_score : 217.17200643174576, number of frames: 236, epsilon: 0
episode: 70, score: 256.37020340803485, average_score : 217.72409371310192, number of frames: 253, epsilon: 0
episode: 71, score: 247.5784464823757, average_score : 218.13873750156407, number of frames: 267, epsilon: 0
episode: 72, score: 279.32926162378544, average_score : 218.9769638594027, number of frames: 325, epsilon: 0
episode: 73, score: 259.4809646534595, average_score : 219.52431522148456, number of frames: 289, epsilon: 0
episode: 74, score: 270.59084932784884, average_score : 220.20520234290274, number of frames: 253, epsilon: 0
episode: 75, score: 246.59223268488043, average_score : 220.55240011056034, number of frames: 239, epsilon: 0
episode: 76, score: 250.57419630020925, average_score : 220.94229356756878, number of frames: 258, epsilon: 0
episode: 77, score: 258.74027682759663, average_score : 221.42688309654352, number of frames: 241, epsilon: 0
episode: 78, score: 220.87589363744766, average_score : 221.41990854642836, number of frames: 270, epsilon: 0
episode: 79, score: 251.3114154101593, average_score : 221.79355238222496, number of frames: 268, epsilon: 0
episode: 80, score: 279.2964676806322, average_score : 222.50346491677323, number of frames: 272, epsilon: 0
episode: 81, score: -26.380525503134137, average_score : 219.46829430189632, number of frames: 212, epsilon: 0
episode: 82, score: 255.25033820565966, average_score : 219.89940326459228, number of frames: 238, epsilon: 0
episode: 83, score: 247.85085240016377, average_score : 220.2321586114443, number of frames: 255, epsilon: 0
episode: 84, score: -21.623898388746937, average_score : 217.3867932349715, number of frames: 224, epsilon: 0
episode: 85, score: 243.17437738108555, average_score : 217.68664886457745, number of frames: 270, epsilon: 0
episode: 86, score: 243.79789167100728, average_score : 217.98677809223759, number of frames: 364, epsilon: 0
episode: 87, score: 233.56298360950203, average_score : 218.163780427661, number of frames: 240, epsilon: 0
episode: 88, score: 269.884823262522, average_score : 218.74491574041224, number of frames: 257, epsilon: 0
episode: 89, score: 250.74361811224608, average_score : 219.10045687787706, number of frames: 214, epsilon: 0
episode: 90, score: 274.2800205471891, average_score : 219.70682570940798, number of frames: 248, epsilon: 0
episode: 91, score: -4.910182283470945, average_score : 217.2653364920941, number of frames: 219, epsilon: 0
episode: 92, score: 248.45764654484134, average_score : 217.60073767545694, number of frames: 305, epsilon: 0
episode: 93, score: 235.6759673738363, average_score : 217.7930273530993, number of frames: 276, epsilon: 0
