Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :64
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.998000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 58, score: -170.86042828863907, average_score : -183.60737959409417, number of frames: 129, epsilon: 0.8885910526522206
episode: 59, score: -135.06177270443936, average_score : -182.79828614593325, number of frames: 96, epsilon: 0.8868138705469162
episode: 60, score: -87.98523767875984, average_score : -181.2439738759796, number of frames: 67, epsilon: 0.8850402428058224
episode: 61, score: -164.42595296587245, average_score : -180.97271547420368, number of frames: 90, epsilon: 0.8832701623202107
episode: 62, score: -135.54353028367302, average_score : -180.2516172965762, number of frames: 131, epsilon: 0.8815036219955703
episode: 63, score: -89.94486836991176, average_score : -178.8405743445971, number of frames: 100, epsilon: 0.8797406147515792
episode: 64, score: -76.83532648206172, average_score : -177.2712628390196, number of frames: 106, epsilon: 0.877981133522076
episode: 65, score: -310.16236877314043, average_score : -179.28476444408207, number of frames: 97, epsilon: 0.8762251712550319
episode: 66, score: -303.63247797184823, average_score : -181.14070046688454, number of frames: 92, epsilon: 0.8744727209125218
episode: 67, score: -230.2056184105553, average_score : -181.86224337782087, number of frames: 132, epsilon: 0.8727237754706968
episode: 68, score: -45.63469103096425, average_score : -179.88793102496788, number of frames: 75, epsilon: 0.8709783279197554
episode: 69, score: -153.45486477656817, average_score : -179.51031579284788, number of frames: 83, epsilon: 0.8692363712639158
episode: 70, score: -112.67149669096617, average_score : -178.5689239745115, number of frames: 104, epsilon: 0.867497898521388
episode: 71, score: -173.95010207967164, average_score : -178.5047736704165, number of frames: 67, epsilon: 0.8657629027243453
episode: 72, score: -77.83326427157698, average_score : -177.1257118978297, number of frames: 74, epsilon: 0.8640313769188966
episode: 73, score: -102.51296319304038, average_score : -176.11743150992712, number of frames: 115, epsilon: 0.8623033141650589
episode: 74, score: -124.62209812988576, average_score : -175.43082706485993, number of frames: 88, epsilon: 0.8605787075367288
episode: 75, score: -291.4366223369893, average_score : -176.95721910791426, number of frames: 91, epsilon: 0.8588575501216553
episode: 76, score: -126.7011817206696, average_score : -176.3045432976903, number of frames: 148, epsilon: 0.857139835021412
episode: 77, score: -67.46680383598088, average_score : -174.9091876635658, number of frames: 129, epsilon: 0.8554255553513692
episode: 78, score: -168.86028815650297, average_score : -174.83261931537515, number of frames: 108, epsilon: 0.8537147042406664
episode: 79, score: -120.6856036046198, average_score : -174.15578161899072, number of frames: 101, epsilon: 0.8520072748321851
episode: 80, score: -143.22440827187864, average_score : -173.77391281223623, number of frames: 109, epsilon: 0.8503032602825207
episode: 81, score: -260.49924443900375, average_score : -174.83153880768464, number of frames: 94, epsilon: 0.8486026537619556
episode: 82, score: -535.0144168676873, average_score : -179.1710915553955, number of frames: 98, epsilon: 0.8469054484544317
episode: 83, score: -243.6062395433353, average_score : -179.93817665049002, number of frames: 89, epsilon: 0.8452116375575228
episode: 84, score: -275.30148759530533, average_score : -181.06009795572314, number of frames: 117, epsilon: 0.8435212142824078
episode: 85, score: -107.18608245461697, average_score : -180.2010977754777, number of frames: 84, epsilon: 0.841834171853843
