Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :64
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.995000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 0, score: -376.87670280835016, average_score : -376.87670280835016, number of frames: 102, epsilon: 0.995
episode: 1, score: -195.02266490700725, average_score : -285.9496838576787, number of frames: 112, epsilon: 0.990025
episode: 2, score: -357.09071249371306, average_score : -309.6633600696901, number of frames: 102, epsilon: 0.985074875
episode: 3, score: 29.51480724605915, average_score : -224.8688182407528, number of frames: 100, epsilon: 0.9801495006250001
episode: 4, score: -274.97479494901347, average_score : -234.89001358240495, number of frames: 83, epsilon: 0.9752487531218751
episode: 5, score: -112.23488808743001, average_score : -214.44749266657576, number of frames: 89, epsilon: 0.9703725093562657
episode: 6, score: -336.70965262926154, average_score : -231.913515518388, number of frames: 125, epsilon: 0.9655206468094844
episode: 7, score: -164.63919010028064, average_score : -223.50422484112462, number of frames: 115, epsilon: 0.960693043575437
episode: 8, score: -255.62918254140408, average_score : -227.0736645856001, number of frames: 132, epsilon: 0.9558895783575597
episode: 9, score: -340.3736948863883, average_score : -238.40366761567893, number of frames: 98, epsilon: 0.9511101304657719
episode: 10, score: -265.23764201453616, average_score : -240.84311983375684, number of frames: 106, epsilon: 0.946354579813443
episode: 11, score: -325.12652089807773, average_score : -247.86673658911693, number of frames: 100, epsilon: 0.9416228069143757
episode: 12, score: -441.2109700440194, average_score : -262.7393699318017, number of frames: 111, epsilon: 0.9369146928798039
episode: 13, score: -79.24521766045031, average_score : -249.63264476956232, number of frames: 77, epsilon: 0.9322301194154049
episode: 14, score: -63.817981513803055, average_score : -237.2450005525117, number of frames: 135, epsilon: 0.9275689688183278
episode: 15, score: -77.98738600815469, average_score : -227.2913996434894, number of frames: 60, epsilon: 0.9229311239742362
episode: 16, score: -236.40561920484467, average_score : -227.82753020592207, number of frames: 126, epsilon: 0.918316468354365
episode: 17, score: -158.45173618100145, average_score : -223.9733194267598, number of frames: 107, epsilon: 0.9137248860125932
episode: 18, score: -62.405278750588636, average_score : -215.46973833854025, number of frames: 66, epsilon: 0.9091562615825302
episode: 19, score: -216.3193361591816, average_score : -215.5122182295723, number of frames: 98, epsilon: 0.9046104802746175
episode: 20, score: -349.2517313596843, average_score : -221.8807664738634, number of frames: 93, epsilon: 0.9000874278732445
episode: 21, score: -89.71157176897307, average_score : -215.87307580545928, number of frames: 138, epsilon: 0.8955869907338783
episode: 22, score: -131.6524116428649, average_score : -212.21130779838992, number of frames: 76, epsilon: 0.8911090557802088
episode: 23, score: -277.2378506366259, average_score : -214.92074708331646, number of frames: 85, epsilon: 0.8866535105013078
episode: 24, score: -107.38283502285995, average_score : -210.6192306008982, number of frames: 93, epsilon: 0.8822202429488013
episode: 25, score: -86.46759983711729, average_score : -205.84416787921433, number of frames: 101, epsilon: 0.8778091417340573
episode: 26, score: -78.49188953739016, average_score : -201.12741682951713, number of frames: 86, epsilon: 0.8734200960253871
episode: 27, score: -132.45320595413406, average_score : -198.67476644111062, number of frames: 124, epsilon: 0.8690529955452602
episode: 28, score: -171.87428539173158, average_score : -197.7506119221665, number of frames: 137, epsilon: 0.8647077305675338
episode: 29, score: -86.7099847678447, average_score : -194.04925768368912, number of frames: 63, epsilon: 0.8603841919146962
episode: 30, score: -116.26055771542504, average_score : -191.53994478148707, number of frames: 94, epsilon: 0.8560822709551227
episode: 31, score: -374.8918013597523, average_score : -197.2696902995578, number of frames: 74, epsilon: 0.851801859600347
episode: 32, score: -397.022646006541, average_score : -203.32281016946635, number of frames: 94, epsilon: 0.8475428503023453
episode: 33, score: -64.61721749622897, average_score : -199.24323391437116, number of frames: 95, epsilon: 0.8433051360508336
episode: 34, score: -79.26230031340242, average_score : -195.81520724005776, number of frames: 96, epsilon: 0.8390886103705794
episode: 35, score: -188.74266267219755, average_score : -195.6187476687283, number of frames: 81, epsilon: 0.8348931673187264
episode: 36, score: -81.04577093045526, average_score : -192.52218072985607, number of frames: 91, epsilon: 0.8307187014821328
episode: 37, score: -115.08118862636796, average_score : -190.48425988502743, number of frames: 95, epsilon: 0.8265651079747222
episode: 38, score: -228.34977178223724, average_score : -191.45517044649435, number of frames: 144, epsilon: 0.8224322824348486
episode: 39, score: -160.8879664616781, average_score : -190.69099034687397, number of frames: 150, epsilon: 0.8183201210226743
episode: 40, score: -121.20350542416291, average_score : -188.996173641442, number of frames: 69, epsilon: 0.8142285204175609
episode: 41, score: -205.05629916426983, average_score : -189.37855758246172, number of frames: 157, epsilon: 0.810157377815473
episode: 42, score: -103.73439466444994, average_score : -187.38683286343817, number of frames: 72, epsilon: 0.8061065909263957
episode: 43, score: -123.49138914741485, average_score : -185.934663688074, number of frames: 106, epsilon: 0.8020760579717637
episode: 44, score: -143.85996241896987, average_score : -184.99967032653836, number of frames: 128, epsilon: 0.798065677681905
episode: 45, score: -50.68184102442002, average_score : -182.07971751562272, number of frames: 82, epsilon: 0.7940753492934954
episode: 46, score: -199.19323920352218, average_score : -182.443834998344, number of frames: 84, epsilon: 0.7901049725470279
episode: 47, score: -73.79978448566719, average_score : -180.18041727932993, number of frames: 99, epsilon: 0.7861544476842928
episode: 48, score: 6.945193379092942, average_score : -176.3615272658927, number of frames: 88, epsilon: 0.7822236754458713
episode: 49, score: -86.67903851650752, average_score : -174.567877490905, number of frames: 89, epsilon: 0.778312557068642
episode: 50, score: -80.66064430815331, average_score : -172.726559193204, number of frames: 115, epsilon: 0.7744209942832988
episode: 51, score: -192.36762813971708, average_score : -173.10427205756, number of frames: 96, epsilon: 0.7705488893118823
episode: 52, score: -182.74672864443465, average_score : -173.2862052007086, number of frames: 115, epsilon: 0.7666961448653229
episode: 53, score: -99.52359174513438, average_score : -171.92023087745721, number of frames: 114, epsilon: 0.7628626641409962
episode: 54, score: -75.93248722951232, average_score : -170.1749991747673, number of frames: 143, epsilon: 0.7590483508202912
episode: 55, score: -66.93985284276799, average_score : -168.33151441883874, number of frames: 121, epsilon: 0.7552531090661897
episode: 56, score: -280.14050470072215, average_score : -170.29307565185425, number of frames: 167, epsilon: 0.7514768435208588
episode: 57, score: -80.33122439826471, average_score : -168.74200925093032, number of frames: 104, epsilon: 0.7477194593032545
episode: 58, score: -44.58383222562121, average_score : -166.6376333691454, number of frames: 82, epsilon: 0.7439808620067382
episode: 59, score: -174.09267328722154, average_score : -166.76188403444667, number of frames: 139, epsilon: 0.7402609576967045
episode: 60, score: -98.59432706476804, average_score : -165.6443831005175, number of frames: 81, epsilon: 0.736559652908221
episode: 61, score: -137.39755669645433, average_score : -165.18878912625843, number of frames: 123, epsilon: 0.7328768546436799
episode: 62, score: -91.48169830699639, average_score : -164.01883530373044, number of frames: 202, epsilon: 0.7292124703704616
episode: 63, score: -93.24175872411705, average_score : -162.912943482174, number of frames: 145, epsilon: 0.7255664080186093
episode: 64, score: -76.09781661515319, average_score : -161.5773261457583, number of frames: 111, epsilon: 0.7219385759785162
episode: 65, score: -115.67737897311363, average_score : -160.88187240071824, number of frames: 89, epsilon: 0.7183288830986236
episode: 66, score: -109.70601819092605, average_score : -160.11805368116907, number of frames: 102, epsilon: 0.7147372386831305
episode: 67, score: -59.60225696454194, average_score : -158.6398802000422, number of frames: 114, epsilon: 0.7111635524897149
episode: 68, score: -219.15614793114082, average_score : -159.51692755846392, number of frames: 200, epsilon: 0.7076077347272662
episode: 69, score: -76.42790660449461, average_score : -158.32994154483578, number of frames: 170, epsilon: 0.7040696960536299
episode: 70, score: -99.08949069825388, average_score : -157.49556899770081, number of frames: 138, epsilon: 0.7005493475733617
episode: 71, score: -199.790134043443, average_score : -158.08299351222502, number of frames: 192, epsilon: 0.697046600835495
episode: 72, score: -101.28092272471244, average_score : -157.30488295349198, number of frames: 81, epsilon: 0.6935613678313175
episode: 73, score: -71.62197114054374, average_score : -156.14700576683052, number of frames: 156, epsilon: 0.6900935609921609
episode: 74, score: -55.820694904973855, average_score : -154.80932162200577, number of frames: 145, epsilon: 0.6866430931872001
episode: 75, score: -106.03643787602495, average_score : -154.1675731516639, number of frames: 110, epsilon: 0.6832098777212641
episode: 76, score: -61.65728693960978, average_score : -152.96614086319565, number of frames: 132, epsilon: 0.6797938283326578
episode: 77, score: -61.84092014219969, average_score : -151.79786880267008, number of frames: 147, epsilon: 0.6763948591909945
episode: 78, score: -52.96387977598451, average_score : -150.54680565043356, number of frames: 167, epsilon: 0.6730128848950395
episode: 79, score: -104.10508890067149, average_score : -149.96628419106156, number of frames: 94, epsilon: 0.6696478204705644
episode: 80, score: 4.6499871965514075, average_score : -148.05744133442434, number of frames: 133, epsilon: 0.6662995813682115
