Beginning Episodes...
----------HyperParameters Used----------
----------Batch Size  :64
----------LearningRate:0.000500
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.995000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 0, score: -401.6237319899516, average_score : -401.6237319899516, number of frames: 92, epsilon: 0.995
episode: 1, score: -117.64767793991325, average_score : -259.6357049649324, number of frames: 125, epsilon: 0.990025
episode: 2, score: -252.9791117507446, average_score : -257.4168405602031, number of frames: 98, epsilon: 0.985074875
episode: 3, score: -94.7645380238814, average_score : -216.7537649261227, number of frames: 85, epsilon: 0.9801495006250001
episode: 4, score: -164.97380791744075, average_score : -206.3977735243863, number of frames: 97, epsilon: 0.9752487531218751
episode: 5, score: -221.09181548897385, average_score : -208.84678051848425, number of frames: 93, epsilon: 0.9703725093562657
episode: 6, score: -210.90988623308658, average_score : -209.1415099062846, number of frames: 99, epsilon: 0.9655206468094844
episode: 7, score: -145.47118542749666, average_score : -201.18271934643607, number of frames: 66, epsilon: 0.960693043575437
episode: 8, score: -314.07702656167805, average_score : -213.72653125924074, number of frames: 64, epsilon: 0.9558895783575597
episode: 9, score: -289.2405361034772, average_score : -221.2779317436644, number of frames: 103, epsilon: 0.9511101304657719
episode: 10, score: -226.1929653681977, average_score : -221.72475298225834, number of frames: 100, epsilon: 0.946354579813443
episode: 11, score: -336.04180092377806, average_score : -231.25117364405165, number of frames: 83, epsilon: 0.9416228069143757
episode: 12, score: -172.84756166859648, average_score : -226.75858810747818, number of frames: 99, epsilon: 0.9369146928798039
episode: 13, score: -91.05205192116846, average_score : -217.06526409417035, number of frames: 79, epsilon: 0.9322301194154049
episode: 14, score: -48.783339359201634, average_score : -205.84646911183913, number of frames: 65, epsilon: 0.9275689688183278
episode: 15, score: -139.41310545980167, average_score : -201.69438388358674, number of frames: 124, epsilon: 0.9229311239742362
episode: 16, score: -147.84185917211414, average_score : -198.52658831232364, number of frames: 73, epsilon: 0.918316468354365
episode: 17, score: -245.70717258407933, average_score : -201.14773188297673, number of frames: 117, epsilon: 0.9137248860125932
episode: 18, score: -110.82041744781958, average_score : -196.393662702179, number of frames: 112, epsilon: 0.9091562615825302
episode: 19, score: -119.39475732524818, average_score : -192.54371743333246, number of frames: 75, epsilon: 0.9046104802746175
episode: 20, score: 33.28438247122793, average_score : -181.78999839025815, number of frames: 90, epsilon: 0.9000874278732445
episode: 21, score: -306.6569490487213, average_score : -187.46576887473373, number of frames: 89, epsilon: 0.8955869907338783
episode: 22, score: -173.1236933609714, average_score : -186.84220037413536, number of frames: 62, epsilon: 0.8911090557802088
episode: 23, score: -26.162846540344646, average_score : -180.14722729772745, number of frames: 133, epsilon: 0.8866535105013078
episode: 24, score: -143.68019192241354, average_score : -178.6885458827149, number of frames: 100, epsilon: 0.8822202429488013
episode: 25, score: -314.9223913655758, average_score : -183.92830917051725, number of frames: 64, epsilon: 0.8778091417340573
episode: 26, score: -195.7865651873977, average_score : -184.36750383780912, number of frames: 117, epsilon: 0.8734200960253871
episode: 27, score: -166.38939606142662, average_score : -183.72542856008118, number of frames: 84, epsilon: 0.8690529955452602
episode: 28, score: -86.38946819910379, average_score : -180.3690161338406, number of frames: 72, epsilon: 0.8647077305675338
episode: 29, score: -148.98769512880307, average_score : -179.32297210033937, number of frames: 81, epsilon: 0.8603841919146962
episode: 30, score: -96.37658873273081, average_score : -176.64728231428748, number of frames: 85, epsilon: 0.8560822709551227
episode: 31, score: -152.75244235857815, average_score : -175.9005685656715, number of frames: 110, epsilon: 0.851801859600347
episode: 32, score: -66.14786517648633, average_score : -172.57472906902953, number of frames: 99, epsilon: 0.8475428503023453
episode: 33, score: -64.30918022807961, average_score : -169.3904482207663, number of frames: 74, epsilon: 0.8433051360508336
episode: 34, score: -71.4703697721547, average_score : -166.5927316936631, number of frames: 115, epsilon: 0.8390886103705794
episode: 35, score: -173.355796074549, average_score : -166.78059459313215, number of frames: 90, epsilon: 0.8348931673187264
episode: 36, score: -219.3650871501061, average_score : -168.201797094672, number of frames: 123, epsilon: 0.8307187014821328
episode: 37, score: -120.0710092818114, average_score : -166.9351974153862, number of frames: 99, epsilon: 0.8265651079747222
episode: 38, score: -99.09970196785267, average_score : -165.19582573724432, number of frames: 116, epsilon: 0.8224322824348486
episode: 39, score: -98.23511363193131, average_score : -163.52180793461147, number of frames: 127, epsilon: 0.8183201210226743
episode: 40, score: -84.9967505026204, average_score : -161.6065626313922, number of frames: 87, epsilon: 0.8142285204175609
episode: 41, score: -98.92666641399255, average_score : -160.11418415002552, number of frames: 116, epsilon: 0.810157377815473
episode: 42, score: -95.07792266730573, average_score : -158.60171295275296, number of frames: 92, epsilon: 0.8061065909263957
episode: 43, score: -134.91659801570074, average_score : -158.06341488600177, number of frames: 108, epsilon: 0.8020760579717637
episode: 44, score: -68.04520054242913, average_score : -156.06301012281128, number of frames: 89, epsilon: 0.798065677681905
episode: 45, score: -153.8353317047202, average_score : -156.01458233111364, number of frames: 127, epsilon: 0.7940753492934954
episode: 46, score: -35.56961878964481, average_score : -153.451923532359, number of frames: 133, epsilon: 0.7901049725470279
episode: 47, score: -185.37732287928281, average_score : -154.11703601875323, number of frames: 129, epsilon: 0.7861544476842928
episode: 48, score: -103.0855951984094, average_score : -153.07557804282786, number of frames: 72, epsilon: 0.7822236754458713
episode: 49, score: -30.95266749410152, average_score : -150.63311983185332, number of frames: 111, epsilon: 0.778312557068642
episode: 50, score: -333.55563015611233, average_score : -154.21983572056428, number of frames: 135, epsilon: 0.7744209942832988
episode: 51, score: -64.37436787894525, average_score : -152.49203826207162, number of frames: 99, epsilon: 0.7705488893118823
episode: 52, score: -38.048811155268474, average_score : -150.33273209024514, number of frames: 175, epsilon: 0.7666961448653229
episode: 53, score: -123.3908763387034, average_score : -149.83380883558695, number of frames: 97, epsilon: 0.7628626641409962
episode: 54, score: -224.32638307938313, average_score : -151.18821927638325, number of frames: 113, epsilon: 0.7590483508202912
episode: 55, score: -66.15144250483509, average_score : -149.66970540546276, number of frames: 77, epsilon: 0.7552531090661897
episode: 56, score: -102.78909366797949, average_score : -148.84723853287534, number of frames: 103, epsilon: 0.7514768435208588
episode: 57, score: -107.3446363487783, average_score : -148.13167642625297, number of frames: 120, epsilon: 0.7477194593032545
episode: 58, score: -79.9809784821388, average_score : -146.97657985092903, number of frames: 136, epsilon: 0.7439808620067382
episode: 59, score: -18.09578947495349, average_score : -144.8285666779961, number of frames: 131, epsilon: 0.7402609576967045
episode: 60, score: 3.0717701854625545, average_score : -142.40397099170988, number of frames: 150, epsilon: 0.736559652908221
episode: 61, score: -110.528613571457, average_score : -141.8898523236413, number of frames: 121, epsilon: 0.7328768546436799
episode: 62, score: -72.26871768258508, average_score : -140.78475494838645, number of frames: 103, epsilon: 0.7292124703704616
episode: 63, score: -113.94534923636024, average_score : -140.36538923413602, number of frames: 97, epsilon: 0.7255664080186093
episode: 64, score: -84.73185179306478, average_score : -139.50948865811955, number of frames: 76, epsilon: 0.7219385759785162
episode: 65, score: -93.24977697390115, average_score : -138.8085839356314, number of frames: 131, epsilon: 0.7183288830986236
episode: 66, score: -141.13972438758134, average_score : -138.84337707670528, number of frames: 121, epsilon: 0.7147372386831305
episode: 67, score: -75.05934998239056, average_score : -137.90537667825947, number of frames: 114, epsilon: 0.7111635524897149
episode: 68, score: -72.47290868919424, average_score : -136.9570800407368, number of frames: 127, epsilon: 0.7076077347272662
episode: 69, score: -52.149634897514616, average_score : -135.74554511011934, number of frames: 108, epsilon: 0.7040696960536299
episode: 70, score: -68.47165785335655, average_score : -134.7980255712917, number of frames: 99, epsilon: 0.7005493475733617
episode: 71, score: -237.65033381965108, average_score : -136.22652985251887, number of frames: 136, epsilon: 0.697046600835495
episode: 72, score: -121.49846621285023, average_score : -136.02477555608505, number of frames: 118, epsilon: 0.6935613678313175
episode: 73, score: -85.70054923426974, average_score : -135.3447184436281, number of frames: 136, epsilon: 0.6900935609921609
episode: 74, score: -64.70708833972489, average_score : -134.40288337557607, number of frames: 75, epsilon: 0.6866430931872001
episode: 75, score: -100.27035745437422, average_score : -133.95377119240234, number of frames: 130, epsilon: 0.6832098777212641
episode: 76, score: -57.796742378247636, average_score : -132.96471887014062, number of frames: 148, epsilon: 0.6797938283326578
episode: 77, score: -76.30932447936863, average_score : -132.2383676600025, number of frames: 101, epsilon: 0.6763948591909945
episode: 78, score: -35.18024069737832, average_score : -131.00978377439966, number of frames: 121, epsilon: 0.6730128848950395
episode: 79, score: -76.40178353948826, average_score : -130.32718377146324, number of frames: 107, epsilon: 0.6696478204705644
episode: 80, score: -81.6869314678895, average_score : -129.72668682944382, number of frames: 142, epsilon: 0.6662995813682115
episode: 81, score: -73.15971083449423, average_score : -129.0368456587737, number of frames: 121, epsilon: 0.6629680834613705
episode: 82, score: -96.36760289355055, average_score : -128.64324032425293, number of frames: 112, epsilon: 0.6596532430440636
episode: 83, score: 7.232852036890492, average_score : -127.02566779614409, number of frames: 164, epsilon: 0.6563549768288433
episode: 84, score: -41.24301986584719, average_score : -126.01646017343472, number of frames: 141, epsilon: 0.653073201944699
episode: 85, score: -46.56128214881656, average_score : -125.0925627545438, number of frames: 102, epsilon: 0.6498078359349755
episode: 86, score: -17.34370211010534, average_score : -123.8540701034583, number of frames: 117, epsilon: 0.6465587967553006
episode: 87, score: -65.19814394206617, average_score : -123.18752548798797, number of frames: 77, epsilon: 0.6433260027715241
episode: 88, score: -34.1368643980024, average_score : -122.1869562622578, number of frames: 157, epsilon: 0.6401093727576664
episode: 89, score: -0.7080252256869102, average_score : -120.83719036185146, number of frames: 98, epsilon: 0.6369088258938781
episode: 90, score: -1.7429183809772866, average_score : -119.52846209832536, number of frames: 152, epsilon: 0.6337242817644086
episode: 91, score: -25.1386063794057, average_score : -118.50248540572841, number of frames: 95, epsilon: 0.6305556603555866
episode: 92, score: -102.2535057695726, average_score : -118.32776519458696, number of frames: 136, epsilon: 0.6274028820538087
episode: 93, score: -37.39672238254285, average_score : -117.46679665403329, number of frames: 153, epsilon: 0.6242658676435396
episode: 94, score: -43.15267510757849, average_score : -116.68454274301797, number of frames: 167, epsilon: 0.6211445383053219
episode: 95, score: -54.07303130005754, average_score : -116.03233949882046, number of frames: 78, epsilon: 0.6180388156137953
episode: 96, score: -68.84656134146341, average_score : -115.54588817761058, number of frames: 131, epsilon: 0.6149486215357263
episode: 97, score: -41.66444194874049, average_score : -114.79199586915273, number of frames: 92, epsilon: 0.6118738784280476
episode: 98, score: -14.819324287560846, average_score : -113.7821709036821, number of frames: 108, epsilon: 0.6088145090359074
episode: 99, score: 7.103160698118401, average_score : -112.57331758766409, number of frames: 105, epsilon: 0.6057704364907278
episode: 100, score: -46.883169260864065, average_score : -109.02591196037321, number of frames: 144, epsilon: 0.6027415843082742
episode: 101, score: -70.86342443554015, average_score : -108.5580694253295, number of frames: 80, epsilon: 0.5997278763867329
episode: 102, score: -107.78102920023518, average_score : -107.1060885998244, number of frames: 107, epsilon: 0.5967292370047992
episode: 103, score: -70.08798808865404, average_score : -106.85932310047212, number of frames: 141, epsilon: 0.5937455908197752
episode: 104, score: -29.891801952366805, average_score : -105.50850304082138, number of frames: 112, epsilon: 0.5907768628656763
episode: 105, score: -19.447711686472303, average_score : -103.49206200279637, number of frames: 149, epsilon: 0.5878229785513479
episode: 106, score: -16.674511010631022, average_score : -101.54970825057178, number of frames: 150, epsilon: 0.5848838636585911
episode: 107, score: -19.6415513030274, average_score : -100.29141190932712, number of frames: 190, epsilon: 0.5819594443402982
episode: 108, score: 44.809617505354566, average_score : -96.70254546865681, number of frames: 111, epsilon: 0.5790496471185967
episode: 109, score: -52.42691373190918, average_score : -94.33440924494113, number of frames: 103, epsilon: 0.5761543988830038
episode: 110, score: -15.271581474376845, average_score : -92.22519540600291, number of frames: 170, epsilon: 0.5732736268885887
episode: 111, score: 24.919420251062377, average_score : -88.6155831942545, number of frames: 133, epsilon: 0.5704072587541458
episode: 112, score: -54.95448745437999, average_score : -87.43665245211234, number of frames: 75, epsilon: 0.567555222460375
episode: 113, score: -52.98775148271845, average_score : -87.05600944772785, number of frames: 132, epsilon: 0.5647174463480732
episode: 114, score: -83.65696796765457, average_score : -87.40474573381236, number of frames: 124, epsilon: 0.5618938591163328
episode: 115, score: -51.51728551026434, average_score : -86.52578753431699, number of frames: 102, epsilon: 0.5590843898207511
episode: 116, score: -219.463241203091, average_score : -87.24200135462675, number of frames: 164, epsilon: 0.5562889678716474
episode: 117, score: -132.54792601734158, average_score : -86.11040888895937, number of frames: 131, epsilon: 0.5535075230322891
episode: 118, score: -47.582760417922124, average_score : -85.47803231866041, number of frames: 89, epsilon: 0.5507399854171277
episode: 119, score: 3.4781468454171716, average_score : -84.24930327695374, number of frames: 171, epsilon: 0.547986285490042
episode: 120, score: -110.93441373806134, average_score : -85.69149123904663, number of frames: 82, epsilon: 0.5452463540625918
episode: 121, score: -32.79679606806734, average_score : -82.9528897092401, number of frames: 76, epsilon: 0.5425201222922789
episode: 122, score: -10.13090007670786, average_score : -81.32296177639746, number of frames: 174, epsilon: 0.5398075216808175
episode: 123, score: -31.83298966041005, average_score : -81.37966320759813, number of frames: 67, epsilon: 0.5371084840724134
episode: 124, score: -73.74601413741554, average_score : -80.68032142974815, number of frames: 104, epsilon: 0.5344229416520513
episode: 125, score: -37.79094480073714, average_score : -77.90900696409976, number of frames: 101, epsilon: 0.531750826943791
episode: 126, score: -39.58380592385129, average_score : -76.3469793714643, number of frames: 115, epsilon: 0.5290920728090721
episode: 127, score: -114.96766459759405, average_score : -75.83276205682597, number of frames: 138, epsilon: 0.5264466124450268
episode: 128, score: -31.269067544898917, average_score : -75.28155805028393, number of frames: 138, epsilon: 0.5238143793828016
episode: 129, score: -91.01665704798368, average_score : -74.70184766947573, number of frames: 122, epsilon: 0.5211953074858876
episode: 130, score: -47.02177419586057, average_score : -74.20829952410702, number of frames: 111, epsilon: 0.5185893309484582
episode: 131, score: -1.6230553887566117, average_score : -72.6970056544088, number of frames: 175, epsilon: 0.5159963842937159
episode: 132, score: -38.11924423874352, average_score : -72.41671944503138, number of frames: 93, epsilon: 0.5134164023722473
episode: 133, score: -33.993383270794354, average_score : -72.11356147545852, number of frames: 86, epsilon: 0.510849320360386
episode: 134, score: -49.14440144242374, average_score : -71.89030179216122, number of frames: 145, epsilon: 0.5082950737585841
episode: 135, score: -45.29463493464255, average_score : -70.60969018076216, number of frames: 102, epsilon: 0.5057535983897912
episode: 136, score: -79.0216621072, average_score : -69.20625593033311, number of frames: 138, epsilon: 0.5032248303978422
episode: 137, score: -32.57366249809749, average_score : -68.33128246249596, number of frames: 192, epsilon: 0.500708706245853
episode: 138, score: -65.58516261427089, average_score : -67.99613706896014, number of frames: 120, epsilon: 0.4982051627146237
episode: 139, score: 2.1683204418108346, average_score : -66.99210272822272, number of frames: 150, epsilon: 0.49571413690105054
episode: 140, score: -21.08839309682581, average_score : -66.35301915416477, number of frames: 135, epsilon: 0.4932355662165453
episode: 141, score: -25.155921708162552, average_score : -65.61531170710647, number of frames: 155, epsilon: 0.4907693883854626
episode: 142, score: 29.693033559912152, average_score : -64.3676021448343, number of frames: 175, epsilon: 0.4883155414435353
episode: 143, score: -115.01903174272091, average_score : -64.16862648210449, number of frames: 135, epsilon: 0.4858739637363176
episode: 144, score: -76.5961339361433, average_score : -64.25413581604161, number of frames: 188, epsilon: 0.483444593917636
