Beginning Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.000000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.998000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 58, score: -106.41475893168798, average_score : -189.46541368036566, number of frames: 74, epsilon: 0.8885910526522206
episode: 59, score: -65.33384045195231, average_score : -187.39655412655878, number of frames: 82, epsilon: 0.8868138705469162
episode: 60, score: -189.4953875140332, average_score : -187.43096123127145, number of frames: 83, epsilon: 0.8850402428058224
episode: 61, score: -93.19123859907022, average_score : -185.91096570494565, number of frames: 93, epsilon: 0.8832701623202107
episode: 62, score: -92.63181851234492, average_score : -184.43034432093611, number of frames: 84, epsilon: 0.8815036219955703
episode: 63, score: -358.86771043496464, average_score : -187.15592816646785, number of frames: 92, epsilon: 0.8797406147515792
episode: 64, score: -322.16425788935305, average_score : -189.2329793929738, number of frames: 122, epsilon: 0.877981133522076
episode: 65, score: -71.02155699080967, average_score : -187.44189723536525, number of frames: 69, epsilon: 0.8762251712550319
episode: 66, score: -144.61281576296358, average_score : -186.8026572133891, number of frames: 116, epsilon: 0.8744727209125218
episode: 67, score: -38.658532417975174, average_score : -184.6240671428683, number of frames: 86, epsilon: 0.8727237754706968
episode: 68, score: -84.26807915305761, average_score : -183.16963253432033, number of frames: 99, epsilon: 0.8709783279197554
episode: 69, score: -93.22497557955941, average_score : -181.88470886353804, number of frames: 65, epsilon: 0.8692363712639158
episode: 70, score: -161.33589038074416, average_score : -181.59528888490715, number of frames: 100, epsilon: 0.867497898521388
episode: 71, score: -150.71729256883222, average_score : -181.16642782496163, number of frames: 118, epsilon: 0.8657629027243453
episode: 72, score: -435.33342548833247, average_score : -184.6481675189804, number of frames: 104, epsilon: 0.8640313769188966
episode: 73, score: 11.036093049308846, average_score : -182.00378561940894, number of frames: 123, epsilon: 0.8623033141650589
episode: 74, score: -66.25135760028698, average_score : -180.4604199124873, number of frames: 91, epsilon: 0.8605787075367288
episode: 75, score: -184.6838115763136, average_score : -180.5159908554324, number of frames: 111, epsilon: 0.8588575501216553
episode: 76, score: -197.38724852570573, average_score : -180.73509809790346, number of frames: 124, epsilon: 0.857139835021412
episode: 77, score: -287.49305749936167, average_score : -182.10378988510163, number of frames: 88, epsilon: 0.8554255553513692
episode: 78, score: -43.26876660474474, average_score : -180.34638452712244, number of frames: 82, epsilon: 0.8537147042406664
episode: 79, score: -95.59268136168018, average_score : -179.2869632375544, number of frames: 94, epsilon: 0.8520072748321851
episode: 80, score: -92.66531684516772, average_score : -178.21756019567312, number of frames: 65, epsilon: 0.8503032602825207
episode: 81, score: -203.50029899198614, average_score : -178.525886278555, number of frames: 105, epsilon: 0.8486026537619556
episode: 82, score: -211.75084344653294, average_score : -178.9261869673258, number of frames: 105, epsilon: 0.8469054484544317
episode: 83, score: -99.69127943434421, average_score : -177.98291425859983, number of frames: 125, epsilon: 0.8452116375575228
episode: 84, score: -95.2380004482565, average_score : -177.0094446843605, number of frames: 76, epsilon: 0.8435212142824078
episode: 85, score: -130.38251316255193, average_score : -176.46727106201388, number of frames: 94, epsilon: 0.841834171853843
episode: 86, score: -136.41005338023098, average_score : -176.0068432725681, number of frames: 76, epsilon: 0.8401505035101353
episode: 87, score: -62.97827610375599, average_score : -174.72242773655884, number of frames: 84, epsilon: 0.838470202503115
episode: 88, score: -115.79867643847534, average_score : -174.06036311523206, number of frames: 73, epsilon: 0.8367932620981088
episode: 89, score: -70.59597362259703, average_score : -172.9107587875361, number of frames: 71, epsilon: 0.8351196755739125
episode: 90, score: -97.93952204107103, average_score : -172.08689904306948, number of frames: 95, epsilon: 0.8334494362227647
episode: 91, score: -142.88287419493557, average_score : -171.76946399037237, number of frames: 95, epsilon: 0.8317825373503192
episode: 92, score: -82.74973797321661, average_score : -170.81226263534919, number of frames: 130, epsilon: 0.8301189722756185
episode: 93, score: -147.47437138880787, average_score : -170.56398719655618, number of frames: 108, epsilon: 0.8284587343310672
episode: 94, score: -116.88352448066388, average_score : -169.99892969428365, number of frames: 98, epsilon: 0.8268018168624051
episode: 95, score: -79.51401531047574, average_score : -169.05637850278563, number of frames: 68, epsilon: 0.8251482132286803
episode: 96, score: -78.77586217958276, average_score : -168.12565153038148, number of frames: 138, epsilon: 0.823497916802223
episode: 97, score: -95.10643969692917, average_score : -167.38055753208096, number of frames: 102, epsilon: 0.8218509209686186
episode: 98, score: -111.47005175415501, average_score : -166.8158049484655, number of frames: 84, epsilon: 0.8202072191266814
episode: 99, score: -5.4083138833051265, average_score : -165.20173003781392, number of frames: 89, epsilon: 0.818566804688428
episode: 100, score: -75.1545380393295, average_score : -165.08664717883025, number of frames: 131, epsilon: 0.8169296710790511
episode: 101, score: -183.03531736994762, average_score : -165.80648078162437, number of frames: 117, epsilon: 0.815295811736893
episode: 102, score: -75.61531089254014, average_score : -165.6701702263812, number of frames: 119, epsilon: 0.8136652201134192
episode: 103, score: -237.39314111786416, average_score : -166.13013275269842, number of frames: 124, epsilon: 0.8120378896731923
episode: 104, score: -94.61829815343582, average_score : -165.9576082174912, number of frames: 78, epsilon: 0.8104138138938459
episode: 105, score: -100.29896555105358, average_score : -163.5921398911857, number of frames: 149, epsilon: 0.8087929862660582
episode: 106, score: -82.13740791492572, average_score : -163.33219231163284, number of frames: 82, epsilon: 0.8071754002935261
episode: 107, score: -105.08885104124785, average_score : -160.8812314115828, number of frames: 76, epsilon: 0.805561049492939
episode: 108, score: -129.04293953406338, average_score : -158.46634621139873, number of frames: 71, epsilon: 0.8039499273939532
episode: 109, score: -95.5349716032457, average_score : -157.75172253220876, number of frames: 89, epsilon: 0.8023420275391653
